"A_1" "A_10" "A_11" "A_12" "A_13" "A_14" "A_15" "A_16" "A_17" "A_18" "A_19" "A_2" "A_20" "A_3" "A_4" "A_5" "A_6" "A_7" "A_8" "A_9" "B_1" "B_10" "B_11" "B_12" "B_13" "B_14" "B_15" "B_16" "B_17" "B_18" "B_19" "B_2" "B_20" "B_3" "B_4" "B_5" "B_6" "B_7" "B_8" "B_9" "C_1" "C_10" "C_11" "C_12" "C_13" "C_14" "C_15" "C_16" "C_17" "C_18" "C_19" "C_2" "C_20" "C_3" "C_4" "C_5" "C_6" "C_7" "C_8" "C_9"
"and" 2.54777070063694 3.20512820512821 2.5974025974026 3.20512820512821 3.92156862745098 3.26797385620915 3.2258064516129 3.92156862745098 3.8961038961039 3.92156862745098 3.87096774193548 3.26797385620915 3.92156862745098 3.24675324675325 3.72670807453416 3.24675324675325 3.79746835443038 3.87096774193548 4.48717948717949 3.18471337579618 6.25 5.75539568345324 4.9645390070922 7.14285714285714 6.38297872340426 4.86111111111111 5.75539568345324 6.29370629370629 5.71428571428571 5.71428571428571 6.42857142857143 6.84931506849315 5.03597122302158 6.25 5.51724137931035 5.59440559440559 5.71428571428571 5.67375886524823 5.63380281690141 5.55555555555556 7.05394190871369 7.56302521008403 7.26495726495726 7.35930735930736 7.32758620689655 7.65957446808511 7.98319327731092 7.98319327731092 7.75862068965517 7.08333333333333 7.20338983050847 7.46887966804979 7.20338983050847 7.02479338842975 6.63900414937759 7.17299578059072 7.14285714285714 7.59493670886076 7.20338983050847 7.59493670886076
"to" 5.09554140127389 4.48717948717949 4.54545454545455 4.48717948717949 3.92156862745098 3.92156862745098 4.51612903225806 4.57516339869281 4.54545454545455 4.57516339869281 3.87096774193548 3.92156862745098 5.22875816993464 4.54545454545455 4.34782608695652 4.54545454545455 3.79746835443038 3.87096774193548 3.84615384615385 4.45859872611465 3.47222222222222 2.87769784172662 3.54609929078014 2.85714285714286 2.83687943262411 3.47222222222222 2.87769784172662 2.7972027972028 2.85714285714286 3.57142857142857 2.85714285714286 3.42465753424658 2.87769784172662 3.47222222222222 3.44827586206897 2.7972027972028 2.85714285714286 3.54609929078014 3.52112676056338 3.47222222222222 3.3195020746888 3.36134453781513 3.41880341880342 3.46320346320346 3.01724137931034 2.97872340425532 3.78151260504202 3.78151260504202 3.01724137931034 3.75 2.96610169491525 2.9045643153527 3.8135593220339 3.30578512396694 3.3195020746888 2.9535864978903 3.36134453781513 2.9535864978903 3.38983050847458 3.37552742616034
"the" 2.54777070063694 2.56410256410256 3.24675324675325 2.56410256410256 2.61437908496732 2.61437908496732 3.2258064516129 2.61437908496732 2.5974025974026 2.61437908496732 2.58064516129032 2.61437908496732 2.61437908496732 2.5974025974026 3.1055900621118 2.5974025974026 2.53164556962025 2.58064516129032 2.56410256410256 3.18471337579618 0.694444444444444 0.719424460431655 0.709219858156028 0.714285714285714 0.709219858156028 0.694444444444444 0.719424460431655 0.699300699300699 0.714285714285714 0.714285714285714 0.714285714285714 0.684931506849315 0.719424460431655 0.694444444444444 1.37931034482759 1.3986013986014 0.714285714285714 0.709219858156028 0.704225352112676 2.08333333333333 2.9045643153527 2.94117647058824 2.99145299145299 3.03030303030303 3.01724137931034 3.40425531914894 2.94117647058824 2.94117647058824 3.01724137931034 2.91666666666667 2.96610169491525 2.9045643153527 2.96610169491525 2.89256198347107 2.9045643153527 2.9535864978903 3.36134453781513 2.9535864978903 2.96610169491525 2.9535864978903
"like" 0.636942675159236 0.641025641025641 0.649350649350649 0.641025641025641 0.65359477124183 0.65359477124183 0.645161290322581 0.65359477124183 0.649350649350649 1.30718954248366 0.645161290322581 0.65359477124183 0.65359477124183 0.649350649350649 1.24223602484472 0.649350649350649 0.632911392405063 0.645161290322581 0.641025641025641 1.27388535031847 2.08333333333333 1.43884892086331 1.41843971631206 1.42857142857143 1.41843971631206 1.38888888888889 1.43884892086331 2.0979020979021 2.14285714285714 1.42857142857143 1.42857142857143 1.36986301369863 1.43884892086331 1.38888888888889 1.37931034482759 1.3986013986014 2.14285714285714 1.41843971631206 1.40845070422535 2.08333333333333 1.6597510373444 1.68067226890756 1.70940170940171 1.73160173160173 1.72413793103448 1.70212765957447 1.68067226890756 1.68067226890756 1.72413793103448 1.66666666666667 1.69491525423729 1.6597510373444 1.69491525423729 1.65289256198347 2.0746887966805 1.68776371308017 1.68067226890756 1.68776371308017 1.69491525423729 1.68776371308017
"for" 1.27388535031847 1.92307692307692 1.2987012987013 1.92307692307692 1.96078431372549 1.30718954248366 1.29032258064516 1.30718954248366 1.2987012987013 1.96078431372549 1.29032258064516 1.30718954248366 1.30718954248366 1.94805194805195 1.24223602484472 1.2987012987013 1.26582278481013 1.29032258064516 1.28205128205128 1.91082802547771 1.38888888888889 1.43884892086331 1.41843971631206 1.42857142857143 2.12765957446809 2.77777777777778 1.43884892086331 1.3986013986014 1.42857142857143 1.42857142857143 1.42857142857143 1.36986301369863 1.43884892086331 1.38888888888889 1.37931034482759 2.0979020979021 1.42857142857143 1.41843971631206 1.40845070422535 1.38888888888889 1.2448132780083 0.840336134453782 0.854700854700855 0.865800865800866 0.862068965517241 0.851063829787234 0.840336134453782 0.840336134453782 0.862068965517241 0.833333333333333 0.847457627118644 1.2448132780083 0.847457627118644 0.826446280991736 0.829875518672199 0.843881856540084 0.840336134453782 0.843881856540084 0.847457627118644 0.843881856540084
"of" 1.27388535031847 1.28205128205128 2.5974025974026 1.28205128205128 1.30718954248366 1.30718954248366 1.29032258064516 1.30718954248366 1.2987012987013 1.30718954248366 1.29032258064516 1.30718954248366 1.30718954248366 1.2987012987013 1.86335403726708 1.2987012987013 2.53164556962025 1.29032258064516 1.28205128205128 1.27388535031847 0.694444444444444 0.719424460431655 0.709219858156028 0.714285714285714 0.709219858156028 0.694444444444444 0.719424460431655 0.699300699300699 0.714285714285714 0.714285714285714 0.714285714285714 0.684931506849315 0.719424460431655 0.694444444444444 0.689655172413793 1.3986013986014 0.714285714285714 0.709219858156028 0.704225352112676 1.38888888888889 1.2448132780083 1.26050420168067 1.28205128205128 1.2987012987013 1.29310344827586 1.27659574468085 1.26050420168067 1.26050420168067 1.29310344827586 1.25 1.27118644067797 1.2448132780083 1.27118644067797 1.2396694214876 1.2448132780083 1.26582278481013 1.26050420168067 1.26582278481013 1.27118644067797 1.26582278481013
"as" 1.27388535031847 1.28205128205128 1.2987012987013 1.28205128205128 1.30718954248366 1.30718954248366 1.29032258064516 1.96078431372549 1.2987012987013 1.30718954248366 1.29032258064516 1.30718954248366 1.30718954248366 1.2987012987013 1.24223602484472 1.2987012987013 1.26582278481013 1.29032258064516 1.28205128205128 1.27388535031847 0.694444444444444 0.719424460431655 0.709219858156028 1.42857142857143 0.709219858156028 0.694444444444444 0.719424460431655 0.699300699300699 0.714285714285714 0.714285714285714 0.714285714285714 0.684931506849315 0.719424460431655 0.694444444444444 1.37931034482759 0.699300699300699 0.714285714285714 1.41843971631206 0.704225352112676 0.694444444444444 1.2448132780083 1.26050420168067 1.28205128205128 1.2987012987013 1.29310344827586 1.27659574468085 1.26050420168067 1.26050420168067 1.29310344827586 1.25 1.27118644067797 1.2448132780083 1.27118644067797 1.2396694214876 1.2448132780083 1.26582278481013 1.26050420168067 1.26582278481013 1.27118644067797 1.26582278481013
"economic" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.0746887966805 2.10084033613445 2.56410256410256 2.16450216450216 2.1551724137931 2.5531914893617 2.10084033613445 2.10084033613445 2.58620689655172 2.08333333333333 2.11864406779661 2.0746887966805 2.54237288135593 2.06611570247934 2.0746887966805 2.10970464135021 2.10084033613445 2.53164556962025 2.11864406779661 2.10970464135021
"such" 0.636942675159236 0.641025641025641 0.649350649350649 0.641025641025641 0.65359477124183 0.65359477124183 0.645161290322581 1.30718954248366 0.649350649350649 0.65359477124183 0.645161290322581 0.65359477124183 0.65359477124183 0.649350649350649 0.62111801242236 0.649350649350649 0.632911392405063 0.645161290322581 0.641025641025641 0.636942675159236 0.694444444444444 0.719424460431655 0.709219858156028 0.714285714285714 0.709219858156028 0.694444444444444 0.719424460431655 0.699300699300699 0.714285714285714 0.714285714285714 0.714285714285714 0.684931506849315 0.719424460431655 0.694444444444444 0.689655172413793 0.699300699300699 0.714285714285714 0.709219858156028 0.704225352112676 0.694444444444444 1.2448132780083 1.26050420168067 1.28205128205128 1.2987012987013 1.29310344827586 1.27659574468085 1.26050420168067 1.26050420168067 1.29310344827586 1.25 1.27118644067797 1.2448132780083 1.27118644067797 1.2396694214876 1.2448132780083 1.26582278481013 1.26050420168067 1.26582278481013 1.27118644067797 1.26582278481013
"are" 1.27388535031847 0.641025641025641 0.649350649350649 0.641025641025641 0.65359477124183 1.30718954248366 1.29032258064516 0.65359477124183 1.2987012987013 0.65359477124183 0.645161290322581 0.65359477124183 1.30718954248366 0.649350649350649 1.24223602484472 0.649350649350649 1.26582278481013 0.645161290322581 0.641025641025641 0.636942675159236 1.38888888888889 1.43884892086331 1.41843971631206 1.42857142857143 1.41843971631206 1.38888888888889 1.43884892086331 1.3986013986014 1.42857142857143 1.42857142857143 1.42857142857143 2.05479452054795 1.43884892086331 1.38888888888889 1.37931034482759 2.0979020979021 1.42857142857143 2.12765957446809 1.40845070422535 1.38888888888889 0.4149377593361 0.420168067226891 0.854700854700855 0.432900432900433 0.431034482758621 0.425531914893617 0.840336134453782 0.420168067226891 0.431034482758621 0.416666666666667 0.423728813559322 0.4149377593361 0.847457627118644 0.413223140495868 0.829875518672199 0.421940928270042 0.420168067226891 0.421940928270042 0.423728813559322 0.843881856540084
