"A_1" "A_10" "A_11" "A_12" "A_13" "A_14" "A_15" "A_16" "A_17" "A_18" "A_19" "A_2" "A_20" "A_3" "A_4" "A_5" "A_6" "A_7" "A_8" "A_9" "B_1" "B_10" "B_11" "B_12" "B_13" "B_14" "B_15" "B_16" "B_17" "B_18" "B_19" "B_2" "B_20" "B_3" "B_4" "B_5" "B_6" "B_7" "B_8" "B_9" "C_1" "C_10" "C_11" "C_12" "C_13" "C_14" "C_15" "C_16" "C_17" "C_18" "C_19" "C_2" "C_20" "C_3" "C_4" "C_5" "C_6" "C_7" "C_8" "C_9"
"A_1" 0 0.89371207296055 0.797356172482512 0.697210099796956 0.723690602764472 0.75178398130921 0.844797056637547 0.697210099796956 0.885557226025417 0.618561858686601 0.869301406327442 0.732253311451988 1.08982918453258 0.93941530192558 0.711472599403397 0.774621086412196 1.02003290623743 0.719137437035387 0.990938014265766 0.880763147579723 0.991756381007585 1.30760987672681 1.40350487621926 1.27918504771816 1.23790030625112 1.31148864152612 1.33657007811038 1.40623957846563 1.32188089602041 1.20925083226342 1.32179083582562 0.776479154185809 1.10707178877099 1.08802920243447 1.23026518002012 1.27605398624751 1.07867733447739 1.04617842423068 1.17786927610975 1.17418747794389 0.717606071119099 1.19426781788146 1.02923128127371 1.09493087148968 0.927339352238213 1.01767680582019 1.18651355819355 1.01677282603795 1.05043358654195 1.09698016013937 0.927342823745594 1.06039817677494 1.16181636148976 0.90736063830892 1.02283986997533 0.797242806411459 1.16248027483888 1.14828547810471 0.969131770702419 0.976934008556452
"A_10" 0.89371207296055 0 1.02866342403829 0.94557852214939 0.950437548679331 0.895486796830595 0.982382531598698 0.94557852214939 0.944299625014432 0.87334398430633 1.019572366412 0.984883876068268 0.953373158089504 0.9944724180142 0.901104135611635 1.00423270433701 0.930364771146247 0.997835618762944 0.964609513265611 0.945471478876667 1.10564456036435 1.12015892055629 1.09607614330247 1.10759530627222 1.08150337855841 1.12508989731857 1.11600595905292 1.12152120098956 1.06324884390959 1.08783384052324 1.03661728577207 1.018879613237 1.00328853044437 0.953538182363292 0.969826678780599 1.06726088190884 1.06795839414424 1.02211630247057 1.08574625016104 1.07868428530398 1.04532265465258 1.00733922635043 0.999736469765678 1.03696165582226 1.0155304375405 1.00124904507968 1.05744522021052 1.031257440168 0.956793404840388 0.972668725791062 1.02140765428696 0.986879983174875 1.06503871614564 0.962341560498008 1.01972111791826 0.989267809138243 1.05586926781443 1.05812255862909 1.08400121634608 1.03518154070612
"A_11" 0.797356172482512 1.02866342403829 0 0.840459598470083 0.891485975171533 0.896479880203811 0.658382319895228 0.840459598470083 0.913367291172232 0.835861048839723 0.954759496453727 0.839958359151015 1.06594134202925 1.02235931109008 0.819158243731831 0.766654128165884 0.996976776379091 0.781621783528179 1.06564945587805 0.801649342247854 1.06137341685731 1.20295985886025 1.2378468990841 1.08017767604158 1.17186564448657 1.17140727145922 1.20927150756744 1.26869766617034 1.2237709107238 1.19491979039676 1.18825026491667 0.976140347907647 1.04806703935159 1.06725062608235 1.17780194777933 1.15577211190947 1.07897193250935 1.01241244979071 1.11493159867935 1.08415993422205 0.902790425746033 1.11874243246165 1.08353911449916 1.1067236005016 0.988496891917983 0.972148212754854 1.03514315403645 0.981321141094007 1.00776475034822 1.04819193801601 0.955513543103681 1.05046017361283 1.15421427445188 0.954432903621097 1.00927685688798 0.90321279798579 1.1253109093727 1.15690427904356 0.871528219405847 1.03026314913057
"A_12" 0.697210099796956 0.94557852214939 0.840459598470083 0 0.926857380867936 0.756120372285306 0.789051898637562 -4.44089209850063e-16 0.939489694471862 0.758449050358408 0.931934900134348 0.723384055992666 1.06833152435112 0.884110211300986 0.861250012123589 0.828113029879294 0.93358853839678 0.786956726765619 1.00816545219895 0.820313284753839 1.04694152157519 1.25417432378353 1.36232310719187 1.24840045550319 1.26002192052696 1.22583030127613 1.32755659648847 1.3415956893295 1.25853257506981 1.20303384942842 1.27907776880612 0.978311319582434 1.08554359022989 1.09130326708997 1.19271233308756 1.22903877684554 1.05921565321906 1.08840856423719 1.15089546222739 1.15410931681892 0.901523711235224 1.2136771686583 1.06021428995639 1.10083820418712 0.916846118997664 0.880179772543782 1.16568769215229 0.951027041058653 1.05834259913632 1.02405157555787 0.99324713255399 1.08899521271886 1.10679342285581 0.995255330226297 1.13406983814659 0.902763808871294 1.18643127933392 1.08682623171618 0.96565262184586 1.01225881606689
"A_13" 0.723690602764472 0.950437548679331 0.891485975171533 0.926857380867936 0 0.887135794827569 0.993006456022869 0.926857380867936 0.824729661585337 0.834193628028483 0.932575460554843 0.886874831573158 0.970036400643224 0.92143155632076 0.835737721037174 0.874578213585324 0.967316287855913 0.840125418857423 0.967176599389594 0.971366192341594 0.973732243497469 1.15988811113105 1.24681335383752 1.20378184078903 1.16448013132178 1.15446892742264 1.17534874486566 1.2397997957079 1.23852967692732 1.14850981141278 1.17832515037537 0.973377348278133 1.13237415627379 1.07664240486183 1.14707938906996 1.10138744213164 1.06217233434626 1.04051796521188 1.11042457921332 1.10167679755502 0.855348064345418 1.06301173186439 1.08360093782637 1.03102089092448 0.922521889461792 0.93790313504432 1.07844074924984 1.07236768496092 1.0164994731156 1.04009051988253 0.916352343671642 1.0364370083465 1.21521703073959 0.948817716271032 0.919963715701826 0.926838495735045 1.11390380230754 1.09508889351492 0.93539883159603 0.990023662982339
"A_14" 0.75178398130921 0.895486796830595 0.896479880203811 0.756120372285306 0.887135794827569 0 0.81687911233605 0.756120372285306 0.87537741983784 0.657101989531139 0.83033412596579 0.761521273229645 1.10231704674604 0.947993555405174 0.875609542435838 0.848613767450966 1.04412654084757 0.816003001732176 1.02673839898063 0.848084084367236 0.969366938816088 1.23317632970983 1.37051313491928 1.30619502877573 1.24928962332759 1.23098902730098 1.25784373685223 1.38588608828771 1.28366348790873 1.20149978700109 1.30861381322753 0.972902004303214 1.0800960963161 1.09883467155781 1.21677230914628 1.25865621025544 1.018302980325 1.09791319608456 1.16009844450025 1.17004185266422 0.82776517101039 1.17528344979993 1.03181372321787 1.00162585372592 0.639976821058016 1.02583417096878 1.17734219074475 0.972752628649024 0.959515344667507 0.947657853571473 0.915048105798648 1.07369282262523 1.1346297072577 0.944732288564045 1.07211269766378 0.852970549101942 1.14472546323502 1.09846600398728 1.0116905660226 0.953526176014982
"A_15" 0.844797056637547 0.982382531598698 0.658382319895228 0.789051898637562 0.993006456022869 0.81687911233605 0 0.789051898637562 0.95587570724916 0.794192809282673 0.880138118412185 0.837185695836228 1.06391382275543 1.00882964885303 0.938073116142377 0.947370880268627 0.984955854505696 0.810138422383895 1.04707540871569 0.898903078666883 1.06123973664636 1.22501176815617 1.21465015811635 1.19837548878248 1.17652063726969 1.18404002999342 1.20878913007282 1.25342198974167 1.17926634254987 1.13002959128457 1.18625407665948 0.956007272927095 0.985358936259167 1.06783686556485 1.1800476308848 1.08438226947226 1.0940377858125 1.03694981287795 1.10888536233918 1.11235527027064 0.960681762843793 1.16173044169892 1.04484244015684 1.06804243649136 0.942387417086608 0.964594570281364 1.08330571969237 0.995135605847786 1.0024517053702 1.07792303372588 0.950487902792104 1.02611221302491 1.05449294552305 1.01440521482347 1.08904269206871 0.816730055878221 1.0694122995931 1.11035068063346 0.952819688646789 0.969939035457196
"A_16" 0.697210099796956 0.94557852214939 0.840459598470083 -4.44089209850063e-16 0.926857380867936 0.756120372285306 0.789051898637562 0 0.939489694471862 0.758449050358408 0.931934900134348 0.723384055992666 1.06833152435112 0.884110211300986 0.861250012123589 0.828113029879294 0.93358853839678 0.786956726765619 1.00816545219895 0.820313284753839 1.04694152157519 1.25417432378353 1.36232310719187 1.24840045550319 1.26002192052696 1.22583030127613 1.32755659648847 1.3415956893295 1.25853257506981 1.20303384942842 1.27907776880612 0.978311319582434 1.08554359022989 1.09130326708997 1.19271233308756 1.22903877684554 1.05921565321906 1.08840856423719 1.15089546222739 1.15410931681892 0.901523711235224 1.2136771686583 1.06021428995639 1.10083820418712 0.916846118997664 0.880179772543782 1.16568769215229 0.951027041058653 1.05834259913632 1.02405157555787 0.99324713255399 1.08899521271886 1.10679342285581 0.995255330226297 1.13406983814659 0.902763808871294 1.18643127933392 1.08682623171618 0.96565262184586 1.01225881606689
"A_17" 0.885557226025417 0.944299625014432 0.913367291172232 0.939489694471862 0.824729661585337 0.87537741983784 0.95587570724916 0.939489694471862 0 0.774046774788972 0.966798416333471 0.959118806041222 0.982860567825509 1.04097721046979 0.939634989842095 0.969267997969823 0.962373464859949 0.876277147638996 0.863202674542684 0.93076377360091 1.03511739488582 1.24769797238968 1.16412658658699 1.20432985822942 1.1686762793327 1.18188771053524 1.16785267841362 1.20583880296981 1.18173419968233 1.15498067644585 1.10298446947824 0.995790297627327 1.02512364924993 1.07988506461929 1.05561898693688 1.13529158433403 1.09985531807984 1.04259335881996 1.13849918226054 1.10750323364424 0.997269206574426 1.14032526323597 0.942956467048471 0.91691945493564 0.910730843519755 1.0048370260383 0.993863642646944 1.06508500455298 0.947472995013574 1.01396295468086 0.976855156939822 0.986754571102479 1.16929079087453 0.971916301077567 1.09440874833408 0.856047514542458 1.07346255377357 1.01250639912121 0.955209682899178 0.973222050036345
"A_18" 0.618561858686601 0.87334398430633 0.835861048839723 0.758449050358408 0.834193628028483 0.657101989531139 0.794192809282673 0.758449050358408 0.774046774788972 0 0.844087620156918 0.711168651344541 1.13464288794407 0.99679846286035 0.769628823329513 0.834209070022035 1.00895018736152 0.749306462341818 0.922095787907805 0.91736366698279 0.926910321811322 1.37754992670964 1.47021254812337 1.33349472723776 1.22481230811317 1.3027755791416 1.40002865034616 1.46089085612416 1.32722383727117 1.16093533054294 1.33997260143288 0.968857133672098 1.14535046597762 1.12187519386314 1.16429204046551 1.27276321356931 1.10293646552154 1.07730724407906 1.23747729751133 1.1871794626712 0.742297406763426 1.22145885468203 1.03070203949486 0.848926255137147 0.82314044240662 1.03821773148644 1.18127267153312 1.02150600117625 0.961308325791458 1.02398035209724 0.893945542935151 1.06914648377003 1.29784544361342 0.941770546651939 1.15172548750814 0.773463329583581 0.986307277746295 1.15965904983939 0.939235444737534 0.835554423505089
