"A_1" "A_10" "A_11" "A_12" "A_13" "A_14" "A_15" "A_16" "A_17" "A_18" "A_19" "A_2" "A_20" "A_3" "A_4" "A_5" "A_6" "A_7" "A_8" "A_9" "B_1" "B_10" "B_11" "B_12" "B_13" "B_14" "B_15" "B_16" "B_17" "B_18" "B_19" "B_2" "B_20" "B_3" "B_4" "B_5" "B_6" "B_7" "B_8" "B_9" "C_1" "C_10" "C_11" "C_12" "C_13" "C_14" "C_15" "C_16" "C_17" "C_18" "C_19" "C_2" "C_20" "C_3" "C_4" "C_5" "C_6" "C_7" "C_8" "C_9"
"the" 7.48299319727891 7.48299319727891 7.48299319727891 7.48299319727891 7.48299319727891 7.48299319727891 7.48299319727891 7.48299319727891 7.48299319727891 7.48299319727891 7.48299319727891 7.48299319727891 7.48299319727891 7.48299319727891 7.48299319727891 7.48299319727891 7.48299319727891 7.48299319727891 7.48299319727891 7.48299319727891 8.13559322033898 8.13559322033898 8.13559322033898 8.13559322033898 8.13559322033898 8.13559322033898 8.13559322033898 8.13559322033898 8.13559322033898 8.13559322033898 8.13559322033898 8.13559322033898 8.13559322033898 8.13559322033898 8.13559322033898 8.13559322033898 8.13559322033898 8.13559322033898 8.13559322033898 8.13559322033898 7.6158940397351 7.6158940397351 7.6158940397351 7.6158940397351 7.6158940397351 7.6158940397351 7.6158940397351 7.6158940397351 7.6158940397351 7.6158940397351 7.6158940397351 7.6158940397351 7.6158940397351 7.6158940397351 7.6158940397351 7.6158940397351 7.6158940397351 7.6158940397351 7.6158940397351 7.6158940397351
"and" 4.42176870748299 4.42176870748299 4.42176870748299 4.42176870748299 4.42176870748299 4.42176870748299 4.42176870748299 4.42176870748299 4.42176870748299 4.42176870748299 4.42176870748299 4.42176870748299 4.42176870748299 4.42176870748299 4.42176870748299 4.42176870748299 4.42176870748299 4.42176870748299 4.42176870748299 4.42176870748299 4.06779661016949 4.06779661016949 4.06779661016949 4.06779661016949 4.06779661016949 4.06779661016949 4.06779661016949 4.06779661016949 4.06779661016949 4.06779661016949 4.06779661016949 4.06779661016949 4.06779661016949 4.06779661016949 4.06779661016949 4.06779661016949 4.06779661016949 4.06779661016949 4.06779661016949 4.06779661016949 5.62913907284768 5.62913907284768 5.62913907284768 5.62913907284768 5.62913907284768 5.62913907284768 5.62913907284768 5.62913907284768 5.62913907284768 5.62913907284768 5.62913907284768 5.62913907284768 5.62913907284768 5.62913907284768 5.62913907284768 5.62913907284768 5.62913907284768 5.62913907284768 5.62913907284768 5.62913907284768
"a" 3.74149659863946 3.74149659863946 3.74149659863946 3.74149659863946 3.74149659863946 3.74149659863946 3.74149659863946 3.74149659863946 3.74149659863946 3.74149659863946 3.74149659863946 3.74149659863946 3.74149659863946 3.74149659863946 3.74149659863946 3.74149659863946 3.74149659863946 3.74149659863946 3.74149659863946 3.74149659863946 4.06779661016949 4.06779661016949 4.06779661016949 4.06779661016949 4.06779661016949 4.06779661016949 4.06779661016949 4.06779661016949 4.06779661016949 4.06779661016949 4.06779661016949 4.06779661016949 4.06779661016949 4.06779661016949 4.06779661016949 4.06779661016949 4.06779661016949 4.06779661016949 4.06779661016949 4.06779661016949 3.64238410596026 3.64238410596026 3.64238410596026 3.64238410596026 3.64238410596026 3.64238410596026 3.64238410596026 3.64238410596026 3.64238410596026 3.64238410596026 3.64238410596026 3.64238410596026 3.64238410596026 3.64238410596026 3.64238410596026 3.64238410596026 3.64238410596026 3.64238410596026 3.64238410596026 3.64238410596026
"of" 2.72108843537415 2.72108843537415 2.72108843537415 2.72108843537415 2.72108843537415 2.72108843537415 2.72108843537415 2.72108843537415 2.72108843537415 2.72108843537415 2.72108843537415 2.72108843537415 2.72108843537415 2.72108843537415 2.72108843537415 2.72108843537415 2.72108843537415 2.72108843537415 2.72108843537415 2.72108843537415 3.05084745762712 3.05084745762712 3.05084745762712 3.05084745762712 3.05084745762712 3.05084745762712 3.05084745762712 3.05084745762712 3.05084745762712 3.05084745762712 3.05084745762712 3.05084745762712 3.05084745762712 3.05084745762712 3.05084745762712 3.05084745762712 3.05084745762712 3.05084745762712 3.05084745762712 3.05084745762712 2.98013245033113 2.98013245033113 2.98013245033113 2.98013245033113 2.98013245033113 2.98013245033113 2.98013245033113 2.98013245033113 2.98013245033113 2.98013245033113 2.98013245033113 2.98013245033113 2.98013245033113 2.98013245033113 2.98013245033113 2.98013245033113 2.98013245033113 2.98013245033113 2.98013245033113 2.98013245033113
"to" 1.36054421768707 1.36054421768707 1.36054421768707 1.36054421768707 1.36054421768707 1.36054421768707 1.36054421768707 1.36054421768707 1.36054421768707 1.36054421768707 1.36054421768707 1.36054421768707 1.36054421768707 1.36054421768707 1.36054421768707 1.36054421768707 1.36054421768707 1.36054421768707 1.36054421768707 1.36054421768707 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 2.64900662251656 2.64900662251656 2.64900662251656 2.64900662251656 2.64900662251656 2.64900662251656 2.64900662251656 2.64900662251656 2.64900662251656 2.64900662251656 2.64900662251656 2.64900662251656 2.64900662251656 2.64900662251656 2.64900662251656 2.64900662251656 2.64900662251656 2.64900662251656 2.64900662251656 2.64900662251656
"s" 1.02040816326531 1.02040816326531 1.02040816326531 1.02040816326531 1.02040816326531 1.02040816326531 1.02040816326531 1.02040816326531 1.02040816326531 1.02040816326531 1.02040816326531 1.02040816326531 1.02040816326531 1.02040816326531 1.02040816326531 1.02040816326531 1.02040816326531 1.02040816326531 1.02040816326531 1.02040816326531 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285
"with" 1.36054421768707 1.36054421768707 1.36054421768707 1.36054421768707 1.36054421768707 1.36054421768707 1.36054421768707 1.36054421768707 1.36054421768707 1.36054421768707 1.36054421768707 1.36054421768707 1.36054421768707 1.36054421768707 1.36054421768707 1.36054421768707 1.36054421768707 1.36054421768707 1.36054421768707 1.36054421768707 1.35593220338983 1.35593220338983 1.35593220338983 1.35593220338983 1.35593220338983 1.35593220338983 1.35593220338983 1.35593220338983 1.35593220338983 1.35593220338983 1.35593220338983 1.35593220338983 1.35593220338983 1.35593220338983 1.35593220338983 1.35593220338983 1.35593220338983 1.35593220338983 1.35593220338983 1.35593220338983 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285
"that" 2.04081632653061 2.04081632653061 2.04081632653061 2.04081632653061 2.04081632653061 2.04081632653061 2.04081632653061 2.04081632653061 2.04081632653061 2.04081632653061 2.04081632653061 2.04081632653061 2.04081632653061 2.04081632653061 2.04081632653061 2.04081632653061 2.04081632653061 2.04081632653061 2.04081632653061 2.04081632653061 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 1.69491525423729 0.33112582781457 0.33112582781457 0.33112582781457 0.33112582781457 0.33112582781457 0.33112582781457 0.33112582781457 0.33112582781457 0.33112582781457 0.33112582781457 0.33112582781457 0.33112582781457 0.33112582781457 0.33112582781457 0.33112582781457 0.33112582781457 0.33112582781457 0.33112582781457 0.33112582781457 0.33112582781457
"author" 1.02040816326531 1.02040816326531 1.02040816326531 1.02040816326531 1.02040816326531 1.02040816326531 1.02040816326531 1.02040816326531 1.02040816326531 1.02040816326531 1.02040816326531 1.02040816326531 1.02040816326531 1.02040816326531 1.02040816326531 1.02040816326531 1.02040816326531 1.02040816326531 1.02040816326531 1.02040816326531 1.01694915254237 1.01694915254237 1.01694915254237 1.01694915254237 1.01694915254237 1.01694915254237 1.01694915254237 1.01694915254237 1.01694915254237 1.01694915254237 1.01694915254237 1.01694915254237 1.01694915254237 1.01694915254237 1.01694915254237 1.01694915254237 1.01694915254237 1.01694915254237 1.01694915254237 1.01694915254237 0.993377483443709 0.993377483443709 0.993377483443709 0.993377483443709 0.993377483443709 0.993377483443709 0.993377483443709 0.993377483443709 0.993377483443709 0.993377483443709 0.993377483443709 0.993377483443709 0.993377483443709 0.993377483443709 0.993377483443709 0.993377483443709 0.993377483443709 0.993377483443709 0.993377483443709 0.993377483443709
"for" 0.340136054421769 0.340136054421769 0.340136054421769 0.340136054421769 0.340136054421769 0.340136054421769 0.340136054421769 0.340136054421769 0.340136054421769 0.340136054421769 0.340136054421769 0.340136054421769 0.340136054421769 0.340136054421769 0.340136054421769 0.340136054421769 0.340136054421769 0.340136054421769 0.340136054421769 0.340136054421769 1.01694915254237 1.01694915254237 1.01694915254237 1.01694915254237 1.01694915254237 1.01694915254237 1.01694915254237 1.01694915254237 1.01694915254237 1.01694915254237 1.01694915254237 1.01694915254237 1.01694915254237 1.01694915254237 1.01694915254237 1.01694915254237 1.01694915254237 1.01694915254237 1.01694915254237 1.01694915254237 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285 1.65562913907285
