Author,A_1,A_10,A_11,A_12,A_13,A_14,A_15,A_16,A_17,A_18,A_19,A_2,A_20,A_3,A_4,A_5,A_6,A_7,A_8,A_9,B_1,B_10,B_11,B_12,B_13,B_14,B_15,B_16,B_17,B_18,B_19,B_2,B_20,B_3,B_4,B_5,B_6,B_7,B_8,B_9,C_1,C_10,C_11,C_12,C_13,C_14,C_15,C_16,C_17,C_18,C_19,C_2,C_20,C_3,C_4,C_5,C_6,C_7,C_8,C_9
A,0,0.893712073,0.797356172,0.6972101,0.723690603,0.751783981,0.844797057,0.6972101,0.885557226,0.618561859,0.869301406,0.732253311,1.089829185,0.939415302,0.711472599,0.774621086,1.020032906,0.719137437,0.990938014,0.880763148,0.991756381,1.307609877,1.403504876,1.279185048,1.237900306,1.311488642,1.336570078,1.406239578,1.321880896,1.209250832,1.321790836,0.776479154,1.107071789,1.088029202,1.23026518,1.276053986,1.078677334,1.046178424,1.177869276,1.174187478,0.717606071,1.194267818,1.029231281,1.094930871,0.927339352,1.017676806,1.186513558,1.016772826,1.050433587,1.09698016,0.927342824,1.060398177,1.161816361,0.907360638,1.02283987,0.797242806,1.162480275,1.148285478,0.969131771,0.976934009
A,0.893712073,0,1.028663424,0.945578522,0.950437549,0.895486797,0.982382532,0.945578522,0.944299625,0.873343984,1.019572366,0.984883876,0.953373158,0.994472418,0.901104136,1.004232704,0.930364771,0.997835619,0.964609513,0.945471479,1.10564456,1.120158921,1.096076143,1.107595306,1.081503379,1.125089897,1.116005959,1.121521201,1.063248844,1.087833841,1.036617286,1.018879613,1.00328853,0.953538182,0.969826679,1.067260882,1.067958394,1.022116302,1.08574625,1.078684285,1.045322655,1.007339226,0.99973647,1.036961656,1.015530438,1.001249045,1.05744522,1.03125744,0.956793405,0.972668726,1.021407654,0.986879983,1.065038716,0.96234156,1.019721118,0.989267809,1.055869268,1.058122559,1.084001216,1.035181541
A,0.797356172,1.028663424,0,0.840459598,0.891485975,0.89647988,0.65838232,0.840459598,0.913367291,0.835861049,0.954759496,0.839958359,1.065941342,1.022359311,0.819158244,0.766654128,0.996976776,0.781621784,1.065649456,0.801649342,1.061373417,1.202959859,1.237846899,1.080177676,1.171865644,1.171407271,1.209271508,1.268697666,1.223770911,1.19491979,1.188250265,0.976140348,1.048067039,1.067250626,1.177801948,1.155772112,1.078971933,1.01241245,1.114931599,1.084159934,0.902790426,1.118742432,1.083539114,1.106723601,0.988496892,0.972148213,1.035143154,0.981321141,1.00776475,1.048191938,0.955513543,1.050460174,1.154214274,0.954432904,1.009276857,0.903212798,1.125310909,1.156904279,0.871528219,1.030263149
A,0.6972101,0.945578522,0.840459598,0,0.926857381,0.756120372,0.789051899,-4.44E-16,0.939489694,0.75844905,0.9319349,0.723384056,1.068331524,0.884110211,0.861250012,0.82811303,0.933588538,0.786956727,1.008165452,0.820313285,1.046941522,1.254174324,1.362323107,1.248400456,1.260021921,1.225830301,1.327556596,1.341595689,1.258532575,1.203033849,1.279077769,0.97831132,1.08554359,1.091303267,1.192712333,1.229038777,1.059215653,1.088408564,1.150895462,1.154109317,0.901523711,1.213677169,1.06021429,1.100838204,0.916846119,0.880179773,1.165687692,0.951027041,1.058342599,1.024051576,0.993247133,1.088995213,1.106793423,0.99525533,1.134069838,0.902763809,1.186431279,1.086826232,0.965652622,1.012258816
A,0.723690603,0.950437549,0.891485975,0.926857381,0,0.887135795,0.993006456,0.926857381,0.824729662,0.834193628,0.932575461,0.886874832,0.970036401,0.921431556,0.835737721,0.874578214,0.967316288,0.840125419,0.967176599,0.971366192,0.973732243,1.159888111,1.246813354,1.203781841,1.164480131,1.154468927,1.175348745,1.239799796,1.238529677,1.148509811,1.17832515,0.973377348,1.132374156,1.076642405,1.147079389,1.101387442,1.062172334,1.040517965,1.110424579,1.101676798,0.855348064,1.063011732,1.083600938,1.031020891,0.922521889,0.937903135,1.078440749,1.072367685,1.016499473,1.04009052,0.916352344,1.036437008,1.215217031,0.948817716,0.919963716,0.926838496,1.113903802,1.095088894,0.935398832,0.990023663
A,0.751783981,0.895486797,0.89647988,0.756120372,0.887135795,0,0.816879112,0.756120372,0.87537742,0.65710199,0.830334126,0.761521273,1.102317047,0.947993555,0.875609542,0.848613767,1.044126541,0.816003002,1.026738399,0.848084084,0.969366939,1.23317633,1.370513135,1.306195029,1.249289623,1.230989027,1.257843737,1.385886088,1.283663488,1.201499787,1.308613813,0.972902004,1.080096096,1.098834672,1.216772309,1.25865621,1.01830298,1.097913196,1.160098445,1.170041853,0.827765171,1.17528345,1.031813723,1.001625854,0.639976821,1.025834171,1.177342191,0.972752629,0.959515345,0.947657854,0.915048106,1.073692823,1.134629707,0.944732289,1.072112698,0.852970549,1.144725463,1.098466004,1.011690566,0.953526176
A,0.844797057,0.982382532,0.65838232,0.789051899,0.993006456,0.816879112,0,0.789051899,0.955875707,0.794192809,0.880138118,0.837185696,1.063913823,1.008829649,0.938073116,0.94737088,0.984955855,0.810138422,1.047075409,0.898903079,1.061239737,1.225011768,1.214650158,1.198375489,1.176520637,1.18404003,1.20878913,1.25342199,1.179266343,1.130029591,1.186254077,0.956007273,0.985358936,1.067836866,1.180047631,1.084382269,1.094037786,1.036949813,1.108885362,1.11235527,0.960681763,1.161730442,1.04484244,1.068042436,0.942387417,0.96459457,1.08330572,0.995135606,1.002451705,1.077923034,0.950487903,1.026112213,1.054492946,1.014405215,1.089042692,0.816730056,1.0694123,1.110350681,0.952819689,0.969939035
A,0.6972101,0.945578522,0.840459598,-4.44E-16,0.926857381,0.756120372,0.789051899,0,0.939489694,0.75844905,0.9319349,0.723384056,1.068331524,0.884110211,0.861250012,0.82811303,0.933588538,0.786956727,1.008165452,0.820313285,1.046941522,1.254174324,1.362323107,1.248400456,1.260021921,1.225830301,1.327556596,1.341595689,1.258532575,1.203033849,1.279077769,0.97831132,1.08554359,1.091303267,1.192712333,1.229038777,1.059215653,1.088408564,1.150895462,1.154109317,0.901523711,1.213677169,1.06021429,1.100838204,0.916846119,0.880179773,1.165687692,0.951027041,1.058342599,1.024051576,0.993247133,1.088995213,1.106793423,0.99525533,1.134069838,0.902763809,1.186431279,1.086826232,0.965652622,1.012258816
A,0.885557226,0.944299625,0.913367291,0.939489694,0.824729662,0.87537742,0.955875707,0.939489694,0,0.774046775,0.966798416,0.959118806,0.982860568,1.04097721,0.93963499,0.969267998,0.962373465,0.876277148,0.863202675,0.930763774,1.035117395,1.247697972,1.164126587,1.204329858,1.168676279,1.181887711,1.167852678,1.205838803,1.1817342,1.154980676,1.102984469,0.995790298,1.025123649,1.079885065,1.055618987,1.135291584,1.099855318,1.042593359,1.138499182,1.107503234,0.997269207,1.140325263,0.942956467,0.916919455,0.910730844,1.004837026,0.993863643,1.065085005,0.947472995,1.013962955,0.976855157,0.986754571,1.169290791,0.971916301,1.094408748,0.856047515,1.073462554,1.012506399,0.955209683,0.97322205
A,0.618561859,0.873343984,0.835861049,0.75844905,0.834193628,0.65710199,0.794192809,0.75844905,0.774046775,0,0.84408762,0.711168651,1.134642888,0.996798463,0.769628823,0.83420907,1.008950187,0.749306462,0.922095788,0.917363667,0.926910322,1.377549927,1.470212548,1.333494727,1.224812308,1.302775579,1.40002865,1.460890856,1.327223837,1.160935331,1.339972601,0.968857134,1.145350466,1.121875194,1.16429204,1.272763214,1.102936466,1.077307244,1.237477298,1.187179463,0.742297407,1.221458855,1.030702039,0.848926255,0.823140442,1.038217731,1.181272672,1.021506001,0.961308326,1.023980352,0.893945543,1.069146484,1.297845444,0.941770547,1.151725488,0.77346333,0.986307278,1.15965905,0.939235445,0.835554424
