Author,A_1,A_10,A_11,A_12,A_13,A_14,A_15,A_16,A_17,A_18,A_19,A_2,A_20,A_3,A_4,A_5,A_6,A_7,A_8,A_9,B_1,B_10,B_11,B_12,B_13,B_14,B_15,B_16,B_17,B_18,B_19,B_2,B_20,B_3,B_4,B_5,B_6,B_7,B_8,B_9,C_1,C_10,C_11,C_12,C_13,C_14,C_15,C_16,C_17,C_18,C_19,C_2,C_20,C_3,C_4,C_5,C_6,C_7,C_8,C_9
A,0,0.939250831,0.989323928,0.858251581,0.946921374,0.991159918,0.957825074,0.938633087,0.995038368,1.031225669,0.954906092,0.881884908,0.940306999,0.881334525,0.882853461,0.944192073,0.980803586,0.944853462,0.893636292,0.99637852,0.179082906,1.106602934,1.148788368,1.019755691,1.11046522,1.147979182,1.112963743,1.109425236,1.163505907,1.182141984,1.129365186,1.042759866,1.098754513,1.052116271,1.050350611,1.110573717,1.144530736,1.105949426,1.060638777,1.159987384,0.14946235,1.082224113,1.12628403,0.995714365,1.085201158,1.126001902,1.09101131,1.085218065,1.139733332,1.159980246,1.10422268,1.018819962,1.076075,1.027595563,1.025466247,1.08713681,1.12054232,1.081227819,1.036814364,1.135500905
A,0.939250831,0,0.993714534,0.988976384,0.941372155,0.984016891,0.934719676,0.936192542,0.85954961,0.877356764,0.869209579,1.022947152,0.930869711,0.993474871,0.998999057,0.979791136,0.95672697,0.930645929,0.875123733,0.931270539,1.106485166,0.173137012,1.150315057,1.145867207,1.102054821,1.138162904,1.087537418,1.104101846,1.026279681,1.03471759,1.04237782,1.180374756,1.086565121,1.158689923,1.161995378,1.14244407,1.118111894,1.088996208,1.039487198,1.092318932,1.085547239,0.145015421,1.131753851,1.127906954,1.080814455,1.119930314,1.069046038,1.084001827,1.005132022,1.015119526,1.020714732,1.161498378,1.067621791,1.14124021,1.1413413,1.123600682,1.0980007,1.068282967,1.019191348,1.071774368
A,0.989323928,0.993714534,0,0.988663242,0.962642896,0.961798102,0.942162873,0.827256155,1.027992177,0.880250043,1.014028293,1.017128336,0.888263181,0.939270691,1.03088407,1.007857103,0.815237523,0.97327738,0.996921025,0.939837105,1.136996291,1.13888939,0.15952304,1.127607263,1.104954829,1.098475519,1.077478703,0.978918,1.174283523,1.019597045,1.164742144,1.156540373,1.026155092,1.08685838,1.174770791,1.15126199,0.96118457,1.113357919,1.141045462,1.08243732,1.12093244,1.123544177,0.134118914,1.113835742,1.088193632,1.08414033,1.063188554,0.961757114,1.159502837,1.00424916,1.14904405,1.141950357,1.010762172,1.072259063,1.158743249,1.137206979,0.944896192,1.096912639,1.128490874,1.06642422
A,0.858251581,0.988976384,0.988663242,0,0.93190453,1.010826284,0.936633762,0.946399177,0.99614379,1.02647028,0.900475705,0.874769661,0.940608959,0.936265462,0.931262467,0.947034131,0.967748047,0.983782829,0.928769529,0.961539641,1.013792939,1.14071236,1.133671413,0.159067995,1.080542918,1.153249569,1.078073387,1.101615307,1.149296977,1.172205217,1.060263321,1.021109056,1.084661299,1.090487964,1.083014557,1.098350335,1.11690518,1.130109384,1.080261495,1.110436511,1.002844631,1.131024167,1.12478769,0.134398493,1.069419193,1.144933664,1.0690456549885199,1.091997206,1.139950759,1.163494595,1.049491645,1.01083486,1.075540578,1.081772605,1.072411296,1.089077968,1.106841211,1.118912968,1.071622733,1.099934835
A,0.946921374,0.941372155,0.962642896,0.93190453,0,0.965230992,1.03434769,0.953950528,0.950927666,1.000870165,0.716290418,0.971075334,0.981665963,0.966461667,0.922251054,0.916175502,0.964775323,0.968443413,0.96625383,0.920739238,1.120561966,1.112172546,1.125977907,1.095690383,0.164832902,1.125509942,1.191479895,1.127867922,1.123285877,1.160000998,0.899175084,1.134868595,1.143383871,1.138730102,1.092649623,1.08666229,1.132231751,1.132793589,1.135744167,1.088083088,1.083829694,1.076286248,1.092149015,1.061787134,0.135794153,1.092342802,1.159869029,1.092135159,1.087367152,1.126786036,0.859913911,1.100577039,1.110328604,1.104688402,1.056420524,1.051327106,1.096914359,1.096914429,1.102434609,1.052298736
A,0.991159918,0.984016891,0.961798102,1.010826284,0.965230992,0,0.924248841,1.033788509,0.801955139,0.860492526,0.991211375,0.995984494,0.957590169,0.940245762,0.986791279,0.943687367,1.028694952,0.840129444,0.910061461,0.959834954,1.148099607,1.138411735,1.109864486,1.158190803,1.116507766,0.152695871,1.068305559,1.189412781,0.959458502,1.009531791,1.151886107,1.144271337,1.104114685,1.097006183,1.140370476,1.097669611,1.179143261,0.989529918,1.064393952,1.111302244,1.13429444,1.125237903,1.097389758,1.147033158,1.10175669,0.128419325,1.055912592,1.177533179,0.944491542,0.996140471,1.138336436,1.131671716,1.091972289,1.084910956,1.126436078,1.084930974,1.165985606,0.975977457,1.051770025,1.097427235
A,0.957825074,0.934719676,0.942162873,0.936633762,1.03434769,0.924248841,0,0.981991511,0.901394977,0.883194642,0.997439008,0.936867714,0.935577079,0.982378373,1.005623249,0.97920907,1.070285575,0.940212986,0.918322971,0.96798261,1.104806813,1.079467719,1.080995597,1.075378729,1.175865408,1.060302649,0.149413367,1.128695356,1.047820113,1.020785382,1.147475833,1.075718544,1.072518594,1.127970716,1.148893768,1.122340453,1.209975792,1.079482835,1.062515867,1.109504832,1.092743901,1.067726553,1.070037495,1.064683318,1.162512362,1.049356006,0.125919374,1.1179007,1.035787759,1.009304451,1.135893481,1.064411831,1.061744747,1.118685583,1.136877508,1.111915951,1.198841583,1.067162277,1.051790744,1.097505043
A,0.938633087,0.936192542,0.827256155,0.946399177,0.953950528,1.033788509,0.981991511,0,1.00282246,0.96987418,1.007523607,0.974957786,0.925869239,1.013370424,0.937122317,1.017045664,0.846832573,0.959465492,0.908072669,0.881670227,1.094832617,1.089812678,0.976982552,1.093504937,1.104007856,1.177346107,1.124001863,0.18092196,1.157326357,1.106197011,1.166602625,1.122172599,1.071255704,1.167181809,1.090181197,1.168059774,0.999871438,1.107232206,1.061222899,1.032288452,1.07904087,1.074526829,0.961359779,1.079613007,1.08770944,1.164456329,1.110803921,0.152638884,1.142834682,1.092049873,1.151412521,1.107755219,1.056991045,1.155226567,1.074482623,1.154742069,0.984222212,1.09127595,1.046777578,1.016698562
A,0.995038368,0.85954961,1.027992177,0.99614379,0.950927666,0.801955139,0.901394977,1.00282246,0,0.880464995,0.929508532,0.962936972,0.957422169,0.941466005,0.921897002,0.976739944,1.002094164,0.851512985,0.948887709,0.996188323,1.163925771,1.026880901,1.185921811,1.15498549,1.113736617,0.959525126,1.056729904,1.171198085,0.176472389,1.039262416,1.103691576,1.122705959,1.115140035,1.110067231,1.088097849,1.141588912,1.164636194,1.01223736,1.114410631,1.159054503,1.145597094,1.008229959,1.169967584,1.139395308,1.094623806,0.941195943,1.039946318,1.154419413,0.148201536,1.021864,1.084977485,1.10556713,1.098822832,1.093666787,1.069594145,1.125022789,1.1469822,0.994219589,1.098668173,1.140794542
A,1.031225669,0.877356764,0.880250043,1.02647028,1.000870165,0.860492526,0.883194642,0.96987418,0.880464995,0,1.035714592,1.016224911,0.89328153,0.972331933,1.030712777,0.96502184,0.932473048,0.977293481,0.928191976,0.978510133,1.188219656,1.033164793,1.030434154,1.174022953,1.152645066,1.006934973,1.028299952,1.127571609,1.037707115,0.158407944,1.195934755,1.164827569,1.040247507,1.12876585,1.184105987,1.118913213,1.085340298,1.126576957,1.08270947,1.130313462,1.169025622,1.013595646,1.011775527,1.157817497,1.132291097,0.988290619,1.010213076,1.10916744,1.018030211,0.132392659,1.177046449,1.147099565,1.021877257,1.111872416,1.164798574,1.101018557,1.066372131,1.106874027,1.065041773,1.111087803
A,0.954906092,0.869209579,1.014028293,0.900475705,0.716290418,0.991211375,0.997439008,1.007523607,0.929508532,1.035714592,0,0.891503577,1.032760581,0.917284436,0.896284828,0.849045309,0.979579968,0.978478489,0.96861295,0.978977279,1.120691309,1.03302713,1.168981438,1.057386608,0.87521542,1.144099548,1.148073637,1.172304364,1.094330251,1.192364248,0.189384681,1.048313439,1.187183497,1.083006594,1.059436021,1.013576105,1.139236948,1.135410581,1.130476348,1.138560615,1.09867101,1.010993212,1.149544929,1.036837644,0.854648235,1.124869576,1.129373413,1.152035972,1.072788556,1.173076803,0.158800121,1.027266406,1.168664736,1.062355685,1.03749323,0.991550536,1.118114708,1.113307884,1.111728559,1.116942887
A,0.881884908,1.022947152,1.017128336,0.874769661,0.971075334,0.995984494,0.936867714,0.974957786,0.962936972,1.016224911,0.891503577,0,0.982998812,0.833446539,0.865523804,0.889118462,0.973956792,0.959273795,0.964206077,0.993205438,1.04656909,1.183579772,1.170333405,1.030355816,1.128839306,1.147179017,1.086833969,1.138785856,1.125683938,1.169236109,1.061056435,0.159265335,1.135775512,0.999368907,1.027349244,1.050941397,1.13200447,1.114579461,1.124377153,1.150996977,1.02669406,1.165284814,1.15328151,1.011736889,1.108681283,1.130323169,1.069578386,1.120555475,1.10699599,1.152071742,1.040955492,0.133335956,1.118849975,0.979006099,1.007798421,1.031976356,1.113262459,1.094966524,1.107956696,1.131796346
A,0.940306999,0.930869711,0.888263181,0.940608959,0.981665963,0.957590169,0.935577079,0.925869239,0.957422169,0.89328153,1.032760581,0.982998812,0,0.965918093,0.92288263,1.060230701,0.859325309,0.950857325,0.96322987,0.875430959,1.106079051,1.093967979,1.04571206,1.096813552,1.141037235,1.110598381,1.087058563,1.09259459,1.121847475,1.049739407,1.201141086,1.13923961,0.15486465,1.13034418,1.085516198,1.21953642,1.021337518,1.107752187,1.125016227,1.035324847,1.094147444,1.082472078,1.034469475,1.086598785,1.128075206,1.1004061,1.076839164,1.081400995,1.110763308,1.03862774,1.1901741,1.128570244,0.130427194,1.12124949,1.073519268,1.210780539,1.009450939,1.095360389,1.116271107,1.023392116
A,0.881334525,0.993474871,0.939270691,0.936265462,0.966461667,0.940245762,0.982378373,1.013370424,0.941466005,0.972331933,0.917284436,0.833446539,0.965918093,0,0.941401438,0.868201519,0.970208256,0.95895145,0.947416894,0.966276271,1.038349439,1.14683328,1.086903591,1.083770044,1.116810036,1.084778741,1.124630895,1.168555975,1.096781468,1.123084318,1.078464194,0.981577838,1.111536616,0.177962118,1.094667527,1.023059746,1.120943723,1.106978788,1.100315731,1.116784399,1.034721531,1.144302037,1.084290263,1.081552407,1.112263465,1.082300666,1.1228739,1.167164067,1.094045734,1.120622376,1.075255998,0.977809339,1.109612481,0.151991944,1.091101914,1.019673395,1.117830423,1.102688095,1.099475936,1.113203466
