Source,Target,Weight,Type
Sc5_B_8,Sc5_C_8,4,undirected
Sc5_B_9,Sc5_A_9,5,undirected
Sc5_B_9,Sc5_B_8,2,undirected
Sc5_B_9,Sc5_C_9,4,undirected
Sc5_C_1,Sc5_A_1,6,undirected
Sc5_C_1,Sc5_B_1,4,undirected
Sc5_C_1,Sc5_C_12,2,undirected
Sc5_C_10,Sc5_A_10,6,undirected
Sc5_C_10,Sc5_B_10,4,undirected
Sc5_C_10,Sc5_C_19,1,undirected
Sc5_C_11,Sc5_A_11,6,undirected
Sc5_C_11,Sc5_B_11,4,undirected
Sc5_C_11,Sc5_C_16,1,undirected
Sc5_C_11,Sc5_C_6,2,undirected
Sc5_C_12,Sc5_A_12,6,undirected
Sc5_C_12,Sc5_B_12,4,undirected
Sc5_C_12,Sc5_C_1,2,undirected
Sc5_C_13,Sc5_A_13,6,undirected
Sc5_C_13,Sc5_B_13,4,undirected
Sc5_C_13,Sc5_C_19,2,undirected
Sc5_C_14,Sc5_A_14,6,undirected
Sc5_C_14,Sc5_B_14,4,undirected
Sc5_C_14,Sc5_C_17,2,undirected
Sc5_C_14,Sc5_C_18,1,undirected
Sc5_C_14,Sc5_C_7,1,undirected
Sc5_C_15,Sc5_A_15,6,undirected
Sc5_C_15,Sc5_B_15,4,undirected
Sc5_C_15,Sc5_C_18,1,undirected
Sc5_C_16,Sc5_A_16,6,undirected
Sc5_C_16,Sc5_B_16,4,undirected
Sc5_C_16,Sc5_C_11,1,undirected
Sc5_C_16,Sc5_C_9,1,undirected
Sc5_C_17,Sc5_A_17,6,undirected
Sc5_C_17,Sc5_B_17,4,undirected
Sc5_C_17,Sc5_C_14,2,undirected
Sc5_C_18,Sc5_A_18,6,undirected
Sc5_C_18,Sc5_B_18,4,undirected
Sc5_C_18,Sc5_C_14,1,undirected
Sc5_C_18,Sc5_C_15,1,undirected
Sc5_C_19,Sc5_A_19,6,undirected
Sc5_C_19,Sc5_B_19,4,undirected
Sc5_C_19,Sc5_C_10,1,undirected
Sc5_C_19,Sc5_C_13,2,undirected
Sc5_C_19,Sc5_C_5,1,undirected
Sc5_C_2,Sc5_A_2,6,undirected
Sc5_C_2,Sc5_B_2,4,undirected
Sc5_C_2,Sc5_C_3,2,undirected
Sc5_C_2,Sc5_C_4,1,undirected
Sc5_C_20,Sc5_A_20,6,undirected
Sc5_C_20,Sc5_B_20,4,undirected
Sc5_C_20,Sc5_C_6,1,undirected
Sc5_C_3,Sc5_A_3,6,undirected
Sc5_C_3,Sc5_B_3,4,undirected
Sc5_C_3,Sc5_C_2,2,undirected
Sc5_C_4,Sc5_A_4,6,undirected
Sc5_C_4,Sc5_B_4,4,undirected
Sc5_C_4,Sc5_C_2,1,undirected
Sc5_C_5,Sc5_A_5,6,undirected
Sc5_C_5,Sc5_B_5,4,undirected
Sc5_C_5,Sc5_C_19,1,undirected
Sc5_C_6,Sc5_A_6,6,undirected
Sc5_C_6,Sc5_B_6,4,undirected
Sc5_C_6,Sc5_C_11,2,undirected
Sc5_C_6,Sc5_C_20,1,undirected
Sc5_C_7,Sc5_A_7,6,undirected
Sc5_C_7,Sc5_B_7,4,undirected
Sc5_C_7,Sc5_C_14,1,undirected
Sc5_C_8,Sc5_A_8,6,undirected
Sc5_C_8,Sc5_B_8,4,undirected
Sc5_C_8,Sc5_C_9,1,undirected
Sc5_C_9,Sc5_A_9,6,undirected
Sc5_C_9,Sc5_B_9,4,undirected
Sc5_C_9,Sc5_C_16,1,undirected
Sc5_C_9,Sc5_C_8,1,undirected
