,A_1.txt,A_10.txt,A_11.txt,A_12.txt,A_13.txt,A_14.txt,A_15.txt,A_16.txt,A_17.txt,A_18.txt,A_19.txt,A_2.txt,A_20.txt,A_3.txt,A_4.txt,A_5.txt,A_6.txt,A_7.txt,A_8.txt,A_9.txt,B_1.txt,B_10.txt,B_11.txt,B_12.txt,B_13.txt,B_14.txt,B_15.txt,B_16.txt,B_17.txt,B_18.txt,B_19.txt,B_2.txt,B_20.txt,B_3.txt,B_4.txt,B_5.txt,B_6.txt,B_7.txt,B_8.txt,B_9.txt,C_1.txt,C_10.txt,C_11.txt,C_12.txt,C_13.txt,C_14.txt,C_15.txt,C_16.txt,C_17.txt,C_18.txt,C_19.txt,C_2.txt,C_20.txt,C_3.txt,C_4.txt,C_5.txt,C_6.txt,C_7.txt,C_8.txt,C_9.txt
A_1.txt,100.0,57.647058823529406,60.72874493927125,56.92307692307692,57.97665369649806,58.36575875486382,57.874015748031496,56.809338521400775,57.8125,57.58754863813229,56.97674418604651,62.04081632653061,67.7570093457944,60.90534979423868,61.15702479338842,59.199999999999996,59.51417004048582,60.32388663967612,58.59375,57.19844357976653,9.34844192634561,9.116809116809117,9.221902017291066,9.30232558139535,10.256410256410255,9.014084507042254,8.595988538681947,8.670520231213873,9.195402298850574,10.174418604651162,8.985507246376812,9.495548961424333,8.30945558739255,9.064327485380117,9.831460674157304,9.912536443148689,9.142857142857142,7.8431372549019605,9.510086455331413,8.985507246376812,14.240506329113925,12.349397590361445,13.580246913580247,13.414634146341465,13.761467889908257,11.96319018404908,11.904761904761903,12.874251497005988,11.854103343465045,13.65079365079365,13.395638629283487,13.271604938271606,11.890243902439025,13.333333333333334,15.360501567398119,12.883435582822086,11.926605504587156,14.733542319749215,11.455108359133128,14.19753086419753
A_10.txt,57.647058823529406,100.0,57.91505791505791,57.30337078651685,56.55430711610487,58.11320754716981,61.328125,57.79467680608364,57.57575757575758,57.35849056603774,55.59701492537313,59.765625,64.15929203539822,56.809338521400775,56.42023346303502,58.301158301158296,59.21568627450981,56.92307692307692,55.39033457249071,55.80524344569289,8.446866485013624,7.629427792915531,8.011049723756907,8.07799442896936,9.315068493150685,7.837837837837839,7.123287671232877,6.887052341597796,7.988980716253444,8.61111111111111,7.777777777777778,8.238636363636363,6.8493150684931505,8.146067415730338,8.62533692722372,8.055555555555555,7.650273224043716,6.720430107526881,7.988980716253444,8.379888268156424,9.705882352941178,9.375,9.826589595375722,9.714285714285714,9.714285714285714,8.022922636103152,8.98876404494382,8.659217877094973,8.882521489971348,9.467455621301776,10.914454277286136,10.174418604651162,8.908045977011495,9.34844192634561,12.42603550295858,8.571428571428571,9.248554913294797,9.248554913294797,9.090909090909092,9.455587392550143
A_11.txt,60.72874493927125,57.91505791505791,100.0,56.015037593984964,57.03422053231939,57.414448669201526,59.375,61.417322834645674,58.07692307692308,57.8544061302682,60.9375,59.683794466403164,67.12328767123287,56.69291338582677,58.8,58.203125,57.25490196078431,59.28853754940712,59.45945945945946,58.68725868725869,8.264462809917356,7.734806629834254,8.426966292134832,8.806818181818182,9.444444444444445,8.539944903581267,8.123249299719888,7.584269662921349,8.707865168539326,9.971509971509972,8.806818181818182,8.670520231213873,8.450704225352112,8.882521489971348,9.340659340659341,8.78186968838527,8.356545961002785,7.397260273972603,9.014084507042254,8.806818181818182,11.178247734138973,10.144927536231885,9.970674486803519,10.495626822157435,9.855072463768117,8.771929824561402,9.116809116809117,9.401709401709402,8.695652173913043,9.939759036144578,10.416666666666668,9.67741935483871,9.037900874635568,10.115606936416185,11.940298507462686,9.329446064139942,10.355029585798817,9.705882352941178,8.579881656804734,10.882352941176471
A_12.txt,56.92307692307692,57.30337078651685,56.015037593984964,100.0,56.457564575645755,56.82656826568265,57.5187969924812,57.08955223880597,57.46268656716418,54.94505494505495,57.83582089552238,58.396946564885496,66.07929515418502,56.70498084291188,55.72519083969466,58.174904942965775,56.060606060606055,58.01526717557252,56.457564575645755,59.24528301886792,7.733333333333333,7.506702412868632,8.469945355191257,7.650273224043716,9.45945945945946,7.712765957446808,7.297297297297297,7.065217391304348,8.446866485013624,8.174386920980927,7.3569482288828345,7.7994428969359335,6.451612903225806,8.011049723756907,9.066666666666666,8.21917808219178,7.238605898123325,7.180851063829788,8.152173913043478,7.3569482288828345,8.908045977011495,9.831460674157304,9.659090909090908,9.243697478991598,9.859154929577464,7.887323943661972,7.650273224043716,8.21917808219178,7.520891364902507,9.30232558139535,9.142857142857142,9.06515580736544,7.8431372549019605,9.192200557103064,11.560693641618498,8.426966292134832,7.865168539325842,9.401709401709402,7.0821529745042495,10.227272727272728
A_13.txt,57.97665369649806,56.55430711610487,57.03422053231939,56.457564575645755,100.0,56.666666666666664,59.16030534351145,57.5187969924812,56.13382899628253,59.46969696969697,59.46969696969697,58.23754789272031,65.19823788546255,57.14285714285714,56.75675675675676,57.414448669201526,55.893536121673,56.65399239543726,57.46268656716418,57.89473684210527,7.4866310160427805,7.258064516129033,7.629427792915531,7.6923076923076925,8.62533692722372,7.180851063829788,6.756756756756757,6.811989100817439,7.901907356948229,8.516483516483516,7.397260273972603,7.5418994413407825,6.775067750677506,7.458563535911603,8.24468085106383,7.967032967032966,8.152173913043478,6.084656084656085,7.901907356948229,7.103825136612022,9.593023255813954,9.269662921348315,10.344827586206897,10.541310541310542,9.91501416430595,8.857142857142856,8.287292817679557,9.166666666666666,8.78186968838527,10.0,9.826589595375722,9.116809116809117,8.498583569405099,9.550561797752808,11.304347826086957,9.090909090909092,8.522727272727272,10.72463768115942,8.045977011494253,10.601719197707736
A_14.txt,58.36575875486382,58.11320754716981,57.414448669201526,56.82656826568265,56.666666666666664,100.0,57.14285714285714,58.490566037735846,57.67790262172284,56.877323420074354,58.052434456928836,56.22641509433962,64.91228070175438,56.92307692307692,56.53846153846154,57.1969696969697,56.27376425855514,57.63358778625955,55.51470588235294,58.867924528301884,9.809264305177113,8.991825613079019,10.30640668523677,10.084033613445378,10.989010989010989,9.782608695652174,10.0,9.166666666666666,9.97229916897507,11.549295774647888,10.393258426966293,9.971509971509972,9.722222222222223,10.16949152542373,9.67741935483871,9.749303621169917,9.615384615384617,8.94308943089431,9.668508287292818,9.47075208913649,11.504424778761061,10.48158640226629,12.244897959183673,11.781609195402298,11.781609195402298,9.770114942528735,9.776536312849162,12.893982808022923,9.686609686609685,11.275964391691394,10.755813953488373,10.982658959537572,10.344827586206897,13.005780346820808,13.569321533923304,10.315186246418339,9.742120343839542,11.014492753623188,9.27536231884058,12.173913043478262
A_15.txt,57.874015748031496,61.328125,59.375,57.5187969924812,59.16030534351145,57.14285714285714,100.0,59.84555984555985,57.79467680608364,60.0,59.38697318007663,60.0,65.91928251121077,57.03125,56.640625,59.765625,58.82352941176471,57.751937984496124,55.59701492537313,59.00383141762452,6.720430107526881,6.486486486486487,6.8493150684931505,7.202216066481995,8.446866485013624,6.989247311827956,6.8493150684931505,6.027397260273973,7.417582417582418,8.033240997229916,6.6115702479338845,7.344632768361582,5.994550408719346,6.963788300835655,7.774798927613941,7.18232044198895,6.7934782608695645,5.6000000000000005,7.417582417582418,6.906077348066299,9.090909090909092,8.47457627118644,9.221902017291066,9.116809116809117,8.498583569405099,7.736389684813753,7.202216066481995,8.379888268156424,7.977207977207977,8.211143695014663,9.329446064139942,8.620689655172415,7.6923076923076925,8.450704225352112,10.818713450292398,8.285714285714285,8.022922636103152,10.23391812865497,7.225433526011561,9.798270893371757
A_16.txt,56.809338521400775,57.79467680608364,61.417322834645674,57.08955223880597,57.5187969924812,58.490566037735846,59.84555984555985,100.0,57.95454545454546,59.541984732824424,59.541984732824424,57.08812260536399,66.81614349775785,57.8125,57.421875,56.87022900763359,56.53846153846154,59.765625,56.343283582089555,59.16030534351145,8.423913043478262,7.317073170731707,8.88888888888889,8.356545961002785,9.89010989010989,8.108108108108109,8.287292817679557,8.055555555555555,8.86426592797784,9.497206703910614,8.356545961002785,9.142857142857142,8.310249307479225,8.732394366197182,9.18918918918919,8.938547486033519,7.923497267759563,6.989247311827956,8.86426592797784,8.055555555555555,9.67741935483871,9.659090909090908,10.115606936416185,10.315186246418339,10.0,8.93371757925072,7.756232686980609,9.243697478991598,7.932011331444759,9.117647058823529,10.557184750733137,9.826589595375722,8.882521489971348,9.943181818181818,12.058823529411764,8.857142857142856,8.285714285714285,8.908045977011495,7.803468208092486,10.69364161849711
A_17.txt,57.8125,57.57575757575758,58.07692307692308,57.46268656716418,56.13382899628253,57.67790262172284,57.79467680608364,57.95454545454546,100.0,56.343283582089555,59.92366412213741,58.07692307692308,65.77777777777779,56.97674418604651,55.38461538461539,57.25190839694656,56.32183908045977,56.48854961832062,57.89473684210527,58.333333333333336,8.108108108108109,7.297297297297297,8.56353591160221,7.734806629834254,8.967391304347826,8.086253369272237,7.671232876712329,7.734806629834254,8.83977900552486,8.56353591160221,7.734806629834254,7.887323943661972,7.397260273972603,7.7994428969359335,8.288770053475936,8.61111111111111,8.19672131147541,7.258064516129033,7.9452054794520555,7.734806629834254,9.649122807017543,9.322033898305085,9.770114942528735,10.285714285714285,9.971509971509972,8.285714285714285,9.243697478991598,9.217877094972067,8.21529745042493,9.734513274336283,9.565217391304348,9.169054441260744,9.169054441260744,11.174785100286533,12.352941176470589,9.142857142857142,8.571428571428571,9.195402298850574,8.092485549132949,10.662824207492795
A_18.txt,57.58754863813229,57.35849056603774,57.8544061302682,54.94505494505495,59.46969696969697,56.877323420074354,60.0,59.541984732824424,56.343283582089555,100.0,57.30337078651685,59.07335907335908,64.03508771929825,55.55555555555556,55.769230769230774,58.23754789272031,56.10687022900763,59.30232558139535,56.50557620817844,56.92883895131086,9.562841530054644,8.743169398907105,9.444444444444445,10.451977401129943,10.43956043956044,9.536784741144414,9.141274238227147,8.61111111111111,10.335195530726256,10.364145658263306,8.913649025069638,9.714285714285714,9.776536312849162,9.91501416430595,10.02710027100271,10.112359550561797,9.065934065934066,8.695652173913043,10.027855153203342,9.831460674157304,10.588235294117647,9.6045197740113,10.69364161849711,10.888252148997136,10.888252148997136,9.510086455331413,9.217877094972067,9.497206703910614,9.116809116809117,10.355029585798817,10.818713450292398,9.770114942528735,9.455587392550143,10.826210826210826,12.316715542521994,10.37463976945245,9.169054441260744,10.115606936416185,9.011627906976743,11.271676300578035
