Sc.,Contrast,Acc. A,Acc. B,Δ acc. [95% CI],p (perm.),p (exact)
3,openai vs spacy,0.9166666666666666,0.8666666666666667,"0.050 [-0.017, 0.117]",0.3777924441511169,0.375
3,openai vs delta,0.9166666666666666,0.8333333333333334,"0.083 [-0.017, 0.200]",0.2269554608907822,0.2265625
3,spacy vs delta,0.8666666666666667,0.8333333333333334,"0.033 [-0.083, 0.150]",0.7914641707165857,0.79052734375
5,openai vs chance,0.0,0.3333333333333333,-0.333,2.7197216389364434e-11,2.7197216389364434e-11
5,spacy vs chance,0.0,0.3333333333333333,-0.333,2.7197216389364434e-11,2.7197216389364434e-11
5,delta vs chance,0.0,0.3333333333333333,-0.333,2.7197216389364434e-11,2.7197216389364434e-11
