scenario,delta_mean_within,delta_mean_between,delta_separation_ratio
1,0.4053983353166604,1.3071609397946125,3.2243865500177176
2,0.4267325013612892,1.2959990630967073,3.0370291903298487
3,0.8929092909846095,1.075683930890909,1.204695641261336
4,-3.7007434154171994e-17,1.4998503397083967,inf
5,0.9399832023424268,1.0534312646784407,1.1206915847573689
