scenario,delta_~_openai,p_delta_~_openai,delta_~_spacy,p_delta_~_spacy,openai_~_spacy,p_openai_~_spacy
1,0.9375905444813889,0.0001999600079984003,0.9551505529692557,0.0001999600079984003,0.9881165483111229,0.0001999600079984003
2,0.961412891583333,0.0001999600079984003,0.9464716732031513,0.0001999600079984003,0.9822409264521369,0.0001999600079984003
3,0.5561316225680251,0.0001999600079984003,0.5003453280549559,0.0001999600079984003,0.7988210259501812,0.0001999600079984003
4,0.9683817594401227,0.0001999600079984003,0.9265262363822178,0.0001999600079984003,0.9899102576521187,0.0001999600079984003
5,0.6898426781368721,0.0001999600079984003,0.597878218390009,0.0001999600079984003,0.7241366392305163,0.0001999600079984003
