,Sc4_A_1,Sc4_A_2,Sc4_A_3,Sc4_A_4,Sc4_A_5,Sc4_A_6,Sc4_A_7,Sc4_A_8,Sc4_A_9,Sc4_A_10,Sc4_A_11,Sc4_A_12,Sc4_A_13,Sc4_A_14,Sc4_A_15,Sc4_A_16,Sc4_A_17,Sc4_A_18,Sc4_A_19,Sc4_A_20,Sc4_B_1,Sc4_B_2,Sc4_B_3,Sc4_B_4,Sc4_B_5,Sc4_B_6,Sc4_B_7,Sc4_B_8,Sc4_B_9,Sc4_B_10,Sc4_B_11,Sc4_B_12,Sc4_B_13,Sc4_B_14,Sc4_B_15,Sc4_B_16,Sc4_B_17,Sc4_B_18,Sc4_B_19,Sc4_B_20,Sc4_C_1,Sc4_C_2,Sc4_C_3,Sc4_C_4,Sc4_C_5,Sc4_C_6,Sc4_C_7,Sc4_C_8,Sc4_C_9,Sc4_C_10,Sc4_C_11,Sc4_C_12,Sc4_C_13,Sc4_C_14,Sc4_C_15,Sc4_C_16,Sc4_C_17,Sc4_C_18,Sc4_C_19,Sc4_C_20
Sc4_A_1,0.0,3.3306690738754696e-16,3.3306690738754696e-16,1.6495123034143688e-07,3.3306690738754696e-16,1.6495123034143688e-07,1.6495123034143688e-07,3.3306690738754696e-16,3.3306690738754696e-16,1.6495123034143688e-07,1.7574752138038718e-06,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,1.7574752138038718e-06,1.7574752138038718e-06,3.3306690738754696e-16,1.6495123034143688e-07,3.3306690738754696e-16,0.13957529909259014,0.13957529909259014,0.13957529909259014,0.13957529909259014,0.13936325012508655,0.13936325012508655,0.13957529909259014,0.13957529909259014,0.13957529909259014,0.13957529909259014,0.1396362507311475,0.1396362507311475,0.13957529909259014,0.13957529909259014,0.1396362507311475,0.1396362507311475,0.13957529909259014,0.13957529909259014,0.1396362507311475,0.1396362507311475,0.10950881402027712,0.10950881402027712,0.10950881402027712,0.10950881402027712,0.10950881402027712,0.10950881402027712,0.10950270491602565,0.10950881402027712,0.10950599121683036,0.10950599121683036,0.10950881402027712,0.10950599121683036,0.10950599121683036,0.10950599121683036,0.10950270491602565,0.10950881402027712,0.10950881402027712,0.10950881402027712,0.10950270491602565,0.10950599121683036
Sc4_A_2,3.3306690738754696e-16,0.0,3.3306690738754696e-16,1.6495123034143688e-07,3.3306690738754696e-16,1.6495123034143688e-07,1.6495123034143688e-07,3.3306690738754696e-16,3.3306690738754696e-16,1.6495123034143688e-07,1.7574752138038718e-06,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,1.7574752138038718e-06,1.7574752138038718e-06,3.3306690738754696e-16,1.6495123034143688e-07,3.3306690738754696e-16,0.13957529909259014,0.13957529909259014,0.13957529909259014,0.13957529909259014,0.13936325012508655,0.13936325012508655,0.13957529909259014,0.13957529909259014,0.13957529909259014,0.13957529909259014,0.1396362507311475,0.1396362507311475,0.13957529909259014,0.13957529909259014,0.1396362507311475,0.1396362507311475,0.13957529909259014,0.13957529909259014,0.1396362507311475,0.1396362507311475,0.10950881402027712,0.10950881402027712,0.10950881402027712,0.10950881402027712,0.10950881402027712,0.10950881402027712,0.10950270491602565,0.10950881402027712,0.10950599121683036,0.10950599121683036,0.10950881402027712,0.10950599121683036,0.10950599121683036,0.10950599121683036,0.10950270491602565,0.10950881402027712,0.10950881402027712,0.10950881402027712,0.10950270491602565,0.10950599121683036
Sc4_A_3,3.3306690738754696e-16,3.3306690738754696e-16,0.0,1.6495123034143688e-07,3.3306690738754696e-16,1.6495123034143688e-07,1.6495123034143688e-07,3.3306690738754696e-16,3.3306690738754696e-16,1.6495123034143688e-07,1.7574752138038718e-06,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,1.7574752138038718e-06,1.7574752138038718e-06,3.3306690738754696e-16,1.6495123034143688e-07,3.3306690738754696e-16,0.13957529909259014,0.13957529909259014,0.13957529909259014,0.13957529909259014,0.13936325012508655,0.13936325012508655,0.13957529909259014,0.13957529909259014,0.13957529909259014,0.13957529909259014,0.1396362507311475,0.1396362507311475,0.13957529909259014,0.13957529909259014,0.1396362507311475,0.1396362507311475,0.13957529909259014,0.13957529909259014,0.1396362507311475,0.1396362507311475,0.10950881402027712,0.10950881402027712,0.10950881402027712,0.10950881402027712,0.10950881402027712,0.10950881402027712,0.10950270491602565,0.10950881402027712,0.10950599121683036,0.10950599121683036,0.10950881402027712,0.10950599121683036,0.10950599121683036,0.10950599121683036,0.10950270491602565,0.10950881402027712,0.10950881402027712,0.10950881402027712,0.10950270491602565,0.10950599121683036
Sc4_A_4,1.6495123034143688e-07,1.6495123034143688e-07,1.6495123034143688e-07,0.0,1.6495123034143688e-07,0.0,0.0,1.6495123034143688e-07,1.6495123034143688e-07,0.0,1.7254829824953077e-06,1.6495123034143688e-07,1.6495123034143688e-07,1.6495123034143688e-07,1.6495123034143688e-07,1.7254829824953077e-06,1.7254829824953077e-06,1.6495123034143688e-07,0.0,1.6495123034143688e-07,0.13958611371711693,0.13958611371711693,0.13958611371711693,0.13958611371711693,0.13937397467291857,0.13937397467291857,0.13958611371711693,0.13958611371711693,0.13958611371711693,0.13958611371711693,0.13964710091330224,0.13964710091330224,0.13958611371711693,0.13958611371711693,0.13964710091330224,0.13964710091330224,0.13958611371711693,0.13958611371711693,0.13964710091330224,0.13964710091330224,0.10951620075929014,0.10951620075929014,0.10951620075929014,0.10951620075929014,0.10951620075929014,0.10951620075929014,0.10950995022798027,0.10951620075929014,0.10951336682069845,0.10951336682069845,0.10951620075929014,0.10951336682069845,0.10951336682069845,0.10951336682069845,0.10950995022798027,0.10951620075929014,0.10951620075929014,0.10951620075929014,0.10950995022798027,0.10951336682069845
Sc4_A_5,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,1.6495123034143688e-07,0.0,1.6495123034143688e-07,1.6495123034143688e-07,3.3306690738754696e-16,3.3306690738754696e-16,1.6495123034143688e-07,1.7574752138038718e-06,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,1.7574752138038718e-06,1.7574752138038718e-06,3.3306690738754696e-16,1.6495123034143688e-07,3.3306690738754696e-16,0.13957529909259014,0.13957529909259014,0.13957529909259014,0.13957529909259014,0.13936325012508655,0.13936325012508655,0.13957529909259014,0.13957529909259014,0.13957529909259014,0.13957529909259014,0.1396362507311475,0.1396362507311475,0.13957529909259014,0.13957529909259014,0.1396362507311475,0.1396362507311475,0.13957529909259014,0.13957529909259014,0.1396362507311475,0.1396362507311475,0.10950881402027712,0.10950881402027712,0.10950881402027712,0.10950881402027712,0.10950881402027712,0.10950881402027712,0.10950270491602565,0.10950881402027712,0.10950599121683036,0.10950599121683036,0.10950881402027712,0.10950599121683036,0.10950599121683036,0.10950599121683036,0.10950270491602565,0.10950881402027712,0.10950881402027712,0.10950881402027712,0.10950270491602565,0.10950599121683036
Sc4_A_6,1.6495123034143688e-07,1.6495123034143688e-07,1.6495123034143688e-07,0.0,1.6495123034143688e-07,0.0,0.0,1.6495123034143688e-07,1.6495123034143688e-07,0.0,1.7254829824953077e-06,1.6495123034143688e-07,1.6495123034143688e-07,1.6495123034143688e-07,1.6495123034143688e-07,1.7254829824953077e-06,1.7254829824953077e-06,1.6495123034143688e-07,0.0,1.6495123034143688e-07,0.13958611371711693,0.13958611371711693,0.13958611371711693,0.13958611371711693,0.13937397467291857,0.13937397467291857,0.13958611371711693,0.13958611371711693,0.13958611371711693,0.13958611371711693,0.13964710091330224,0.13964710091330224,0.13958611371711693,0.13958611371711693,0.13964710091330224,0.13964710091330224,0.13958611371711693,0.13958611371711693,0.13964710091330224,0.13964710091330224,0.10951620075929014,0.10951620075929014,0.10951620075929014,0.10951620075929014,0.10951620075929014,0.10951620075929014,0.10950995022798027,0.10951620075929014,0.10951336682069845,0.10951336682069845,0.10951620075929014,0.10951336682069845,0.10951336682069845,0.10951336682069845,0.10950995022798027,0.10951620075929014,0.10951620075929014,0.10951620075929014,0.10950995022798027,0.10951336682069845
Sc4_A_7,1.6495123034143688e-07,1.6495123034143688e-07,1.6495123034143688e-07,0.0,1.6495123034143688e-07,0.0,0.0,1.6495123034143688e-07,1.6495123034143688e-07,0.0,1.7254829824953077e-06,1.6495123034143688e-07,1.6495123034143688e-07,1.6495123034143688e-07,1.6495123034143688e-07,1.7254829824953077e-06,1.7254829824953077e-06,1.6495123034143688e-07,0.0,1.6495123034143688e-07,0.13958611371711693,0.13958611371711693,0.13958611371711693,0.13958611371711693,0.13937397467291857,0.13937397467291857,0.13958611371711693,0.13958611371711693,0.13958611371711693,0.13958611371711693,0.13964710091330224,0.13964710091330224,0.13958611371711693,0.13958611371711693,0.13964710091330224,0.13964710091330224,0.13958611371711693,0.13958611371711693,0.13964710091330224,0.13964710091330224,0.10951620075929014,0.10951620075929014,0.10951620075929014,0.10951620075929014,0.10951620075929014,0.10951620075929014,0.10950995022798027,0.10951620075929014,0.10951336682069845,0.10951336682069845,0.10951620075929014,0.10951336682069845,0.10951336682069845,0.10951336682069845,0.10950995022798027,0.10951620075929014,0.10951620075929014,0.10951620075929014,0.10950995022798027,0.10951336682069845
Sc4_A_8,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,1.6495123034143688e-07,3.3306690738754696e-16,1.6495123034143688e-07,1.6495123034143688e-07,0.0,3.3306690738754696e-16,1.6495123034143688e-07,1.7574752138038718e-06,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,1.7574752138038718e-06,1.7574752138038718e-06,3.3306690738754696e-16,1.6495123034143688e-07,3.3306690738754696e-16,0.13957529909259014,0.13957529909259014,0.13957529909259014,0.13957529909259014,0.13936325012508655,0.13936325012508655,0.13957529909259014,0.13957529909259014,0.13957529909259014,0.13957529909259014,0.1396362507311475,0.1396362507311475,0.13957529909259014,0.13957529909259014,0.1396362507311475,0.1396362507311475,0.13957529909259014,0.13957529909259014,0.1396362507311475,0.1396362507311475,0.10950881402027712,0.10950881402027712,0.10950881402027712,0.10950881402027712,0.10950881402027712,0.10950881402027712,0.10950270491602565,0.10950881402027712,0.10950599121683036,0.10950599121683036,0.10950881402027712,0.10950599121683036,0.10950599121683036,0.10950599121683036,0.10950270491602565,0.10950881402027712,0.10950881402027712,0.10950881402027712,0.10950270491602565,0.10950599121683036
Sc4_A_9,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,1.6495123034143688e-07,3.3306690738754696e-16,1.6495123034143688e-07,1.6495123034143688e-07,3.3306690738754696e-16,0.0,1.6495123034143688e-07,1.7574752138038718e-06,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,1.7574752138038718e-06,1.7574752138038718e-06,3.3306690738754696e-16,1.6495123034143688e-07,3.3306690738754696e-16,0.13957529909259014,0.13957529909259014,0.13957529909259014,0.13957529909259014,0.13936325012508655,0.13936325012508655,0.13957529909259014,0.13957529909259014,0.13957529909259014,0.13957529909259014,0.1396362507311475,0.1396362507311475,0.13957529909259014,0.13957529909259014,0.1396362507311475,0.1396362507311475,0.13957529909259014,0.13957529909259014,0.1396362507311475,0.1396362507311475,0.10950881402027712,0.10950881402027712,0.10950881402027712,0.10950881402027712,0.10950881402027712,0.10950881402027712,0.10950270491602565,0.10950881402027712,0.10950599121683036,0.10950599121683036,0.10950881402027712,0.10950599121683036,0.10950599121683036,0.10950599121683036,0.10950270491602565,0.10950881402027712,0.10950881402027712,0.10950881402027712,0.10950270491602565,0.10950599121683036
Sc4_A_10,1.6495123034143688e-07,1.6495123034143688e-07,1.6495123034143688e-07,0.0,1.6495123034143688e-07,0.0,0.0,1.6495123034143688e-07,1.6495123034143688e-07,0.0,1.7254829824953077e-06,1.6495123034143688e-07,1.6495123034143688e-07,1.6495123034143688e-07,1.6495123034143688e-07,1.7254829824953077e-06,1.7254829824953077e-06,1.6495123034143688e-07,0.0,1.6495123034143688e-07,0.13958611371711693,0.13958611371711693,0.13958611371711693,0.13958611371711693,0.13937397467291857,0.13937397467291857,0.13958611371711693,0.13958611371711693,0.13958611371711693,0.13958611371711693,0.13964710091330224,0.13964710091330224,0.13958611371711693,0.13958611371711693,0.13964710091330224,0.13964710091330224,0.13958611371711693,0.13958611371711693,0.13964710091330224,0.13964710091330224,0.10951620075929014,0.10951620075929014,0.10951620075929014,0.10951620075929014,0.10951620075929014,0.10951620075929014,0.10950995022798027,0.10951620075929014,0.10951336682069845,0.10951336682069845,0.10951620075929014,0.10951336682069845,0.10951336682069845,0.10951336682069845,0.10950995022798027,0.10951620075929014,0.10951620075929014,0.10951620075929014,0.10950995022798027,0.10951336682069845
