,Sc5_A_1,Sc5_A_2,Sc5_A_3,Sc5_A_4,Sc5_A_5,Sc5_A_6,Sc5_A_7,Sc5_A_8,Sc5_A_9,Sc5_A_10,Sc5_A_11,Sc5_A_12,Sc5_A_13,Sc5_A_14,Sc5_A_15,Sc5_A_16,Sc5_A_17,Sc5_A_18,Sc5_A_19,Sc5_A_20,Sc5_B_1,Sc5_B_2,Sc5_B_3,Sc5_B_4,Sc5_B_5,Sc5_B_6,Sc5_B_7,Sc5_B_8,Sc5_B_9,Sc5_B_10,Sc5_B_11,Sc5_B_12,Sc5_B_13,Sc5_B_14,Sc5_B_15,Sc5_B_16,Sc5_B_17,Sc5_B_18,Sc5_B_19,Sc5_B_20,Sc5_C_1,Sc5_C_2,Sc5_C_3,Sc5_C_4,Sc5_C_5,Sc5_C_6,Sc5_C_7,Sc5_C_8,Sc5_C_9,Sc5_C_10,Sc5_C_11,Sc5_C_12,Sc5_C_13,Sc5_C_14,Sc5_C_15,Sc5_C_16,Sc5_C_17,Sc5_C_18,Sc5_C_19,Sc5_C_20
Sc5_A_1,0.0,0.18808484101766232,0.20398496078589068,0.2449349335639438,0.21299485417993091,0.32541280577534526,0.3183395169527983,0.28371073135245506,0.3109977756687681,0.3010679120993013,0.365229543745369,0.29404755421546536,0.29939215570945876,0.405492708072,0.30785413742845713,0.3928774417107973,0.3660066590294634,0.3985389474790799,0.2861983628923188,0.31636959858811575,0.04579945221326387,0.22063329780402885,0.2469227798482686,0.28840298426091426,0.2597348828354964,0.3804359446463459,0.36328085607312965,0.330867683144346,0.3500129411852074,0.33863186285295244,0.41234659193235446,0.336881739985743,0.33429002527023854,0.45549017240496426,0.359586437869304,0.4149974089852374,0.40407910692128046,0.4365870779683927,0.32714616253553197,0.3593134294203286,0.018681506677343918,0.21586031105952885,0.2293319265273367,0.2699475162335845,0.23119493936082947,0.3591364664957636,0.34896159678901206,0.29862963052621183,0.33573935137440136,0.319597640346999,0.39963168095303203,0.3201069196536289,0.32392416529008694,0.43157161234533636,0.3305183057802955,0.42241382906829905,0.38792595240618477,0.4149024350114082,0.30592731624373837,0.33777390854496414
Sc5_A_2,0.18808484101766232,0.0,0.2577886618733205,0.22841066080442307,0.2560303349257347,0.31560660536876683,0.3491209640518951,0.3120658348708234,0.2524112775463845,0.3272576019908011,0.33881836173997804,0.3395352814843552,0.3250989574709724,0.4440219610954381,0.39038451779833894,0.34102886865765525,0.43588244987547775,0.44355264444036047,0.3352332088507952,0.32594348821752783,0.22952301716453105,0.03886527032564313,0.2986057315288262,0.2702095466364425,0.3048527434311997,0.37047451171965484,0.3935776752748932,0.35958942578951403,0.29630287839885716,0.36624763675915917,0.38666724717717804,0.3814512947577353,0.3650712937790589,0.4903710324526962,0.44181257935400065,0.37008381485401143,0.4737554270418388,0.4820728292728659,0.3781287648424745,0.37039633605874966,0.20534548133750008,0.013846396655465054,0.278596265158118,0.24492181117856138,0.27189243934860063,0.3416890168533181,0.37449637166067085,0.3229995181612394,0.26746751035666694,0.341697805492276,0.36465758146668514,0.3588043862910344,0.3456592861249428,0.4658526003917638,0.41292713505317347,0.36410257668591706,0.45590412686801773,0.461038153267295,0.3520597337282937,0.34344108863767586
Sc5_A_3,0.20398496078589068,0.2577886618733205,0.0,0.19042017315076432,0.1589640799576949,0.29084020806859945,0.28940917222013807,0.23863310848116825,0.2718475452411757,0.2656369406323178,0.34380525236327686,0.26849767119951606,0.27548798809368136,0.3715106931158426,0.30423399615403945,0.4381618262060044,0.38184311357783196,0.4006164045138174,0.25051437483534755,0.3353649411515722,0.23684405350284143,0.29051021806803945,0.03877283574011425,0.2284519712645785,0.20309811970691483,0.3353075423731078,0.3322162814151013,0.28292432260613687,0.3030865125985964,0.297902191103008,0.3816792016725691,0.3034954300539433,0.3070137563054527,0.41070111948345367,0.34573429537507794,0.45318400096591305,0.4133665047323384,0.4310199436674045,0.2850139540810287,0.3668522151098351,0.22605836358085696,0.2879214665901182,0.015909549392980837,0.2124359853763388,0.1709783036596354,0.3207842772536156,0.3164547238516011,0.2500715757990053,0.2947629709030303,0.2813495080762596,0.3760028935183042,0.29202540559712176,0.29584166453671334,0.3931522295428389,0.32326648075239417,0.46630571585569847,0.4049346014120796,0.41648071785709795,0.2651272383135703,0.35619002302175207
Sc5_A_4,0.2449349335639438,0.22841066080442307,0.19042017315076432,0.0,0.17421820415800693,0.24151443484047275,0.255557202358512,0.21508037812571934,0.23549282292974993,0.2528001198236749,0.2963062320613793,0.27504217434809686,0.23032248246310694,0.3767976710321842,0.31623996204913596,0.3874089447663419,0.36982914833770786,0.3673732543343522,0.2454019388179789,0.26372111236701434,0.2650819226558886,0.25509590623590594,0.21549639029987755,0.03530461219553638,0.2113556277361972,0.2800278249442454,0.28719451005583496,0.24695742258160192,0.26124208245462144,0.2779832794156205,0.3277727398050446,0.3042380334148749,0.2557209768497347,0.40953773797274085,0.350388158218483,0.39528843849798123,0.3952512283030859,0.3918780528562459,0.27580703104597637,0.28972078429892534,0.27419954376751676,0.2622075820392722,0.21795594590528444,0.01693930053560866,0.19503484625097567,0.2745923550142999,0.284238358322222,0.23141537289908665,0.26185332311305476,0.27269539438994306,0.33300160838061077,0.3042233845962331,0.2539940141723209,0.40241935157494524,0.34287438779720747,0.4209608420794758,0.3961684889630189,0.3885388843886123,0.26457662613535127,0.2875545759882209
Sc5_A_5,0.21299485417993091,0.2560303349257347,0.1589640799576949,0.17421820415800693,0.0,0.28077144281041266,0.25802484077460597,0.23722906217066808,0.2761588485984321,0.23176951525045464,0.30320814832902565,0.21027906414518738,0.2135603750739079,0.32564360905461864,0.29935172315224046,0.40951573369135386,0.32017143266311254,0.371902392219463,0.19561967061454288,0.26990575704858877,0.22660617513160974,0.27307768706385294,0.17952590119607714,0.2000882004707213,0.03484679940493751,0.31039067323141134,0.2888902305249451,0.2630951891932617,0.2970333648568172,0.2538424732940745,0.3257218419654264,0.2347961965001777,0.23346732732132525,0.35290584515852186,0.33180106777881024,0.4050002031752429,0.33935039950926893,0.3858792815297677,0.2227310732175526,0.2925907080312541,0.24174439044391438,0.292177204766787,0.18757272998180474,0.20246578454908237,0.0160155933934798,0.31815074546710376,0.28928741142183123,0.2530045632227039,0.3055921584330876,0.25525341439545857,0.34139236309597687,0.23888996505384508,0.24131704773632123,0.35108173222995953,0.3254379889040653,0.44426532703519295,0.34517336277955024,0.39100291445283397,0.21773951603461406,0.2980591368761777
Sc5_A_6,0.32541280577534526,0.31560660536876683,0.29084020806859945,0.24151443484047275,0.28077144281041266,0.0,0.3214638881495139,0.261366538049266,0.28509487118609045,0.2624566715039881,0.09284176749758055,0.34212174790323646,0.27588996693085077,0.34188889896057306,0.30574173657708203,0.26139293657729046,0.3512874363602344,0.264965255421564,0.31501011613336094,0.12202048698268086,0.34200883732348775,0.3362437288516782,0.3110490348811903,0.27119318299145745,0.3125280296687375,0.049879029864759894,0.356934169846732,0.29824152828568473,0.32026399838759123,0.2955682886912555,0.13622613223828062,0.3664824564318113,0.30279435184942205,0.3738343607700607,0.3368117982099268,0.2682749929978723,0.3779238834343994,0.29020915147600923,0.3492555441052604,0.15906628027049285,0.3573325083429352,0.35265158007111075,0.3200824162473648,0.27326400280088536,0.30885261795613284,0.021158863937945527,0.3590270650338757,0.28023028142304385,0.3161863911320225,0.2869998637737827,0.12365860625746694,0.37495341918101965,0.30679720547261347,0.3691755552837468,0.3350593351526975,0.2889227765846376,0.3797325822447086,0.28644837480767293,0.34115773720947407,0.1410196273084814
Sc5_A_7,0.3183395169527983,0.3491209640518951,0.28940917222013807,0.255557202358512,0.25802484077460597,0.3214638881495139,0.0,0.19874482387631232,0.3033954798311006,0.19847974674726043,0.31647833169677286,0.3375638952984352,0.21509375884347814,0.2763758375770683,0.2765710627190989,0.45450035571805547,0.24913811078248282,0.38630929303023875,0.2793766692046923,0.3208266123178405,0.3274492442112866,0.36409177547905447,0.3072767073769529,0.28616531908942355,0.2866487957748982,0.3568674191559571,0.03139412587870771,0.22543337509995232,0.3266461376706359,0.2262165854253848,0.34542624626728213,0.3606837259247755,0.24075696627460363,0.31291097263249057,0.31403866701780825,0.45693443014438273,0.27531635084539907,0.407317992309128,0.3045325301397217,0.3458206500312082,0.35597071262113134,0.38719200164900613,0.3222589815863244,0.28907843841548864,0.28953942117530307,0.3645601836429845,0.014740743654193533,0.21528739295148858,0.3362692169373038,0.21832233259443312,0.35493235402704104,0.3695516574105324,0.24235678418149287,0.29994392698624917,0.3058366165026388,0.4916924346776501,0.2755848039784661,0.4106555688371667,0.3069447110429091,0.3502455547433526
Sc5_A_8,0.28371073135245506,0.3120658348708234,0.23863310848116825,0.21508037812571934,0.23722906217066808,0.261366538049266,0.19874482387631232,0.0,0.24077026296893334,0.18486876545908493,0.2676137045991034,0.306056306556278,0.2625057017378808,0.24764861389434056,0.22554174189605958,0.4004828611414929,0.3212121440411746,0.3484445117250703,0.32143391900128304,0.29795177974934295,0.29701838868656893,0.32859924045075206,0.26029036354297885,0.24278004644863638,0.26743951282587874,0.3006027950097907,0.2338314660006643,0.0433991847504428,0.2610931201860056,0.21343494598581658,0.2998216522157199,0.33197754139187785,0.2857734527051684,0.28318136139185957,0.26520900556466576,0.4080268900193016,0.34810671672788984,0.3723296588870677,0.3469282983379014,0.3251585659053945,0.3213347321978023,0.3539595572226033,0.27348758452424704,0.25029263893745324,0.2678985896761691,0.3065366757377056,0.2325823400424899,0.01860197584502077,0.27412964431279563,0.20728700299101188,0.30933045168491,0.3424111265961103,0.2945768733849765,0.2736443895749352,0.2566604997846764,0.44207021128011303,0.3561246414441893,0.3792207367610827,0.3516788827124654,0.3339426706108498
Sc5_A_9,0.3109977756687681,0.2524112775463845,0.2718475452411757,0.23549282292974993,0.2761588485984321,0.28509487118609045,0.3033954798311006,0.24077026296893334,0.0,0.19124939686839504,0.28979563353054993,0.3654387895884246,0.22940589097013864,0.3622660772519637,0.2993424861195698,0.3181451498486607,0.3945582794997221,0.3472310953778228,0.2707331605723313,0.2658356035196271,0.33367033264133983,0.2800926324818994,0.298059391482393,0.2673303230926275,0.3115042013708289,0.33199081900778604,0.3422206917186953,0.27924489941731057,0.03254299342671507,0.21893731942028904,0.3291635440956978,0.39834757652562225,0.26402872617938644,0.40722228772255353,0.344953852300384,0.33828968806122206,0.4289323703811727,0.3837103445796969,0.30422110203423025,0.30183370199906345,0.34388878517065735,0.28610252251751744,0.3018190665463587,0.26426663032121045,0.3022539218911078,0.32378039905111045,0.33586266140027543,0.26171812128497707,0.013904441209485086,0.20834613179481232,0.3261169157446492,0.39792383718225577,0.25368851658739955,0.3888429242923669,0.32754397933794044,0.35101355303265913,0.42444940286937505,0.3727453165752732,0.2947370908707675,0.29389513490822294
Sc5_A_10,0.3010679120993013,0.3272576019908011,0.2656369406323178,0.2528001198236749,0.23176951525045464,0.2624566715039881,0.19847974674726043,0.18486876545908493,0.19124939686839504,0.0,0.2719899934246264,0.3235647572050173,0.1644333118327237,0.2526654032459045,0.2016635486602173,0.38534889469660194,0.25721110112149126,0.2730432137224661,0.22831475739304286,0.2692982251580833,0.31008017982284297,0.3430363109998582,0.281567152638613,0.277851000615705,0.25784071094638017,0.3013186591293032,0.23418942776687213,0.2170921590023812,0.21491481686192826,0.028560897956967035,0.3016225646511773,0.34518969615768413,0.18924058623605156,0.2930851573359551,0.2404685685801008,0.3859797088656264,0.2864699259562282,0.2985784181156642,0.2562229059143307,0.29661605609084085,0.3420601894251588,0.3722044226535446,0.3014458958690899,0.29003760508977683,0.2604924621959519,0.308023321157173,0.2336787993250774,0.2111876483362608,0.22176293742021724,0.012344719979459184,0.31431177904815544,0.3615006268173653,0.1927836520316114,0.27910953092976354,0.2321397460052962,0.4239142130499355,0.2879999737524551,0.29821296457159163,0.2562491566509273,0.30367576759352277
