source,target,cosine_distance
Sc1_A_1,Sc1_A_1,0.0
Sc1_A_2,Sc1_A_1,0.0037272129038317114
Sc1_A_3,Sc1_A_1,0.0035553080617718447
Sc1_A_4,Sc1_A_1,0.003825742441339819
Sc1_A_5,Sc1_A_1,0.004539858263186258
Sc1_A_6,Sc1_A_1,0.0045376531895267025
Sc1_A_7,Sc1_A_1,0.00349037302603894
Sc1_A_8,Sc1_A_1,0.004736773283954943
Sc1_A_9,Sc1_A_1,0.003458021498060404
Sc1_A_10,Sc1_A_1,0.0039708491328636075
Sc1_A_11,Sc1_A_1,0.0028017866945747594
Sc1_A_12,Sc1_A_1,0.004359610017986015
Sc1_A_13,Sc1_A_1,0.0037166036351892195
Sc1_A_14,Sc1_A_1,0.003672812218484367
Sc1_A_15,Sc1_A_1,0.004697125641868527
Sc1_A_16,Sc1_A_1,0.005296521236815233
Sc1_A_17,Sc1_A_1,0.003551580191048287
Sc1_A_18,Sc1_A_1,0.00378591365110148
Sc1_A_19,Sc1_A_1,0.0038570034738986125
Sc1_A_20,Sc1_A_1,0.004225939457596528
Sc1_B_1,Sc1_A_1,0.07611407637711887
Sc1_B_2,Sc1_A_1,0.06302271477212229
Sc1_B_3,Sc1_A_1,0.07056287268338768
Sc1_B_4,Sc1_A_1,0.06891010155235189
Sc1_B_5,Sc1_A_1,0.06658707371239092
Sc1_B_6,Sc1_A_1,0.06880689085659175
Sc1_B_7,Sc1_A_1,0.06853241183672787
Sc1_B_8,Sc1_A_1,0.058844009232825956
Sc1_B_9,Sc1_A_1,0.06404039809084816
Sc1_B_10,Sc1_A_1,0.06770022121876806
Sc1_B_11,Sc1_A_1,0.06798327200289278
Sc1_B_12,Sc1_A_1,0.07175609957916318
Sc1_B_13,Sc1_A_1,0.0640971295019016
Sc1_B_14,Sc1_A_1,0.06377424910798324
Sc1_B_15,Sc1_A_1,0.07032024247817126
Sc1_B_16,Sc1_A_1,0.06090345198759595
Sc1_B_17,Sc1_A_1,0.07257109724826516
Sc1_B_18,Sc1_A_1,0.06123966331665942
Sc1_B_19,Sc1_A_1,0.063456063386365
Sc1_B_20,Sc1_A_1,0.07185302176052288
Sc1_C_1,Sc1_A_1,0.06507973055472338
Sc1_C_2,Sc1_A_1,0.07210097134710902
Sc1_C_3,Sc1_A_1,0.06706392345765155
Sc1_C_4,Sc1_A_1,0.0633139975575654
Sc1_C_5,Sc1_A_1,0.06593162656563767
Sc1_C_6,Sc1_A_1,0.0652283179575186
Sc1_C_7,Sc1_A_1,0.06810770706981228
Sc1_C_8,Sc1_A_1,0.06471025857818025
Sc1_C_9,Sc1_A_1,0.06480100230250896
Sc1_C_10,Sc1_A_1,0.0681096240233402
Sc1_C_11,Sc1_A_1,0.06959984232136462
Sc1_C_12,Sc1_A_1,0.06906067943150629
Sc1_C_13,Sc1_A_1,0.06650449924007751
Sc1_C_14,Sc1_A_1,0.06857760897417686
Sc1_C_15,Sc1_A_1,0.07142379837246526
Sc1_C_16,Sc1_A_1,0.06260506658098874
Sc1_C_17,Sc1_A_1,0.06907412336406804
Sc1_C_18,Sc1_A_1,0.06386766671993804
Sc1_C_19,Sc1_A_1,0.06911560285497109
Sc1_C_20,Sc1_A_1,0.068739992794556
Sc1_A_1,Sc1_A_2,0.0037272129038317114
Sc1_A_2,Sc1_A_2,0.0
Sc1_A_3,Sc1_A_2,0.004400689686502535
Sc1_A_4,Sc1_A_2,0.005355825817631499
Sc1_A_5,Sc1_A_2,0.004786082737616937
Sc1_A_6,Sc1_A_2,0.004777387002367073
Sc1_A_7,Sc1_A_2,0.003636367787757111
Sc1_A_8,Sc1_A_2,0.0028651368190675264
Sc1_A_9,Sc1_A_2,0.0037569318146808417
Sc1_A_10,Sc1_A_2,0.003790217581059574
Sc1_A_11,Sc1_A_2,0.0037913100741497896
Sc1_A_12,Sc1_A_2,0.004320985117677867
Sc1_A_13,Sc1_A_2,0.003907614442874574
Sc1_A_14,Sc1_A_2,0.003479098915485146
Sc1_A_15,Sc1_A_2,0.00619298982620986
Sc1_A_16,Sc1_A_2,0.005362327171200554
Sc1_A_17,Sc1_A_2,0.004246733138333458
Sc1_A_18,Sc1_A_2,0.0030390099548358585
Sc1_A_19,Sc1_A_2,0.0036687627117003574
Sc1_A_20,Sc1_A_2,0.004342814631737801
Sc1_B_1,Sc1_A_2,0.0727704187854421
Sc1_B_2,Sc1_A_2,0.05986974718640803
Sc1_B_3,Sc1_A_2,0.06764854408664422
Sc1_B_4,Sc1_A_2,0.06743506628876916
Sc1_B_5,Sc1_A_2,0.06249047424709031
Sc1_B_6,Sc1_A_2,0.06498021316428604
Sc1_B_7,Sc1_A_2,0.06603436220524517
Sc1_B_8,Sc1_A_2,0.05754886108848589
Sc1_B_9,Sc1_A_2,0.06200341875148818
Sc1_B_10,Sc1_A_2,0.06457291273432075
Sc1_B_11,Sc1_A_2,0.06690099185831366
Sc1_B_12,Sc1_A_2,0.06859484063014987
Sc1_B_13,Sc1_A_2,0.06188670234685656
Sc1_B_14,Sc1_A_2,0.061938230129720995
Sc1_B_15,Sc1_A_2,0.06663409172625112
Sc1_B_16,Sc1_A_2,0.05845429383244927
Sc1_B_17,Sc1_A_2,0.07005239216920589
Sc1_B_18,Sc1_A_2,0.0588979575103562
Sc1_B_19,Sc1_A_2,0.06139076551777356
Sc1_B_20,Sc1_A_2,0.06804037898108184
Sc1_C_1,Sc1_A_2,0.06437328845512624
Sc1_C_2,Sc1_A_2,0.07224651420358108
Sc1_C_3,Sc1_A_2,0.06637992863964537
Sc1_C_4,Sc1_A_2,0.06333298510277108
Sc1_C_5,Sc1_A_2,0.06556030713160899
Sc1_C_6,Sc1_A_2,0.06482112458223921
Sc1_C_7,Sc1_A_2,0.06763542298681668
Sc1_C_8,Sc1_A_2,0.06413540698557274
Sc1_C_9,Sc1_A_2,0.06434856262246647
Sc1_C_10,Sc1_A_2,0.067801379509555
Sc1_C_11,Sc1_A_2,0.06899037658062779
Sc1_C_12,Sc1_A_2,0.06871973753424454
Sc1_C_13,Sc1_A_2,0.0665239988522417
Sc1_C_14,Sc1_A_2,0.06737806213472142
Sc1_C_15,Sc1_A_2,0.07117352383682296
Sc1_C_16,Sc1_A_2,0.062036876192989365
Sc1_C_17,Sc1_A_2,0.06860265450105862
Sc1_C_18,Sc1_A_2,0.0640787581964386
Sc1_C_19,Sc1_A_2,0.06861070088979537
Sc1_C_20,Sc1_A_2,0.06814756706962954
Sc1_A_1,Sc1_A_3,0.0035553080617718447
Sc1_A_2,Sc1_A_3,0.004400689686502535
Sc1_A_3,Sc1_A_3,0.0
Sc1_A_4,Sc1_A_3,0.003426486429608744
Sc1_A_5,Sc1_A_3,0.0030503584352690183
Sc1_A_6,Sc1_A_3,0.003752349484968831
Sc1_A_7,Sc1_A_3,0.0037730885970218564
Sc1_A_8,Sc1_A_3,0.0036593746255775272
Sc1_A_9,Sc1_A_3,0.002724194574469041
Sc1_A_10,Sc1_A_3,0.0030812139963430907
Sc1_A_11,Sc1_A_3,0.0030088541663483293
Sc1_A_12,Sc1_A_3,0.004327947319027192
Sc1_A_13,Sc1_A_3,0.004862132618958959
Sc1_A_14,Sc1_A_3,0.003559198287968579
Sc1_A_15,Sc1_A_3,0.005932471845878529
Sc1_A_16,Sc1_A_3,0.002822826185431504
Sc1_A_17,Sc1_A_3,0.0029153878188175053
Sc1_A_18,Sc1_A_3,0.00417965444205004
Sc1_A_19,Sc1_A_3,0.0029017726211754136
Sc1_A_20,Sc1_A_3,0.0029214677078713835
Sc1_B_1,Sc1_A_3,0.07026992588215542
Sc1_B_2,Sc1_A_3,0.0586740192250228
Sc1_B_3,Sc1_A_3,0.06520958865929205
Sc1_B_4,Sc1_A_3,0.06437368167068702
Sc1_B_5,Sc1_A_3,0.06133483287509611
Sc1_B_6,Sc1_A_3,0.06382440079094509
Sc1_B_7,Sc1_A_3,0.06266134551238245
Sc1_B_8,Sc1_A_3,0.05497553313547787
Sc1_B_9,Sc1_A_3,0.0600027911102623
Sc1_B_10,Sc1_A_3,0.06230945673799937
Sc1_B_11,Sc1_A_3,0.06342080660819749
Sc1_B_12,Sc1_A_3,0.065708303624877
Sc1_B_13,Sc1_A_3,0.05822693089740749
Sc1_B_14,Sc1_A_3,0.059074444816340055
Sc1_B_15,Sc1_A_3,0.0644810436288592
Sc1_B_16,Sc1_A_3,0.05519773457102506
Sc1_B_17,Sc1_A_3,0.0670663153594605
Sc1_B_18,Sc1_A_3,0.057365596844487055
Sc1_B_19,Sc1_A_3,0.059182977626637046
Sc1_B_20,Sc1_A_3,0.06649363174349077
Sc1_C_1,Sc1_A_3,0.05807575093579076
Sc1_C_2,Sc1_A_3,0.06480413460346779
Sc1_C_3,Sc1_A_3,0.0604140794057082
Sc1_C_4,Sc1_A_3,0.05660245518812568
Sc1_C_5,Sc1_A_3,0.059636177486710684
Sc1_C_6,Sc1_A_3,0.05852518560214193
Sc1_C_7,Sc1_A_3,0.06118820323413732
Sc1_C_8,Sc1_A_3,0.05742851415099981
Sc1_C_9,Sc1_A_3,0.05776296775300327
Sc1_C_10,Sc1_A_3,0.06162313411815812
Sc1_C_11,Sc1_A_3,0.062109294441578644
Sc1_C_12,Sc1_A_3,0.062365408018137614
Sc1_C_13,Sc1_A_3,0.059929117155934186
Sc1_C_14,Sc1_A_3,0.06168331356657519
Sc1_C_15,Sc1_A_3,0.06382408691150943
Sc1_C_16,Sc1_A_3,0.05613465943655149
Sc1_C_17,Sc1_A_3,0.06205689253539792
Sc1_C_18,Sc1_A_3,0.057319265439784606
Sc1_C_19,Sc1_A_3,0.06250660103436534
Sc1_C_20,Sc1_A_3,0.0615160966434356
Sc1_A_1,Sc1_A_4,0.003825742441339819
Sc1_A_2,Sc1_A_4,0.005355825817631499
Sc1_A_3,Sc1_A_4,0.003426486429608744
Sc1_A_4,Sc1_A_4,0.0
Sc1_A_5,Sc1_A_4,0.004419607943670467
Sc1_A_6,Sc1_A_4,0.0033997750163219376
Sc1_A_7,Sc1_A_4,0.003962971216122879
Sc1_A_8,Sc1_A_4,0.005315280758794061
Sc1_A_9,Sc1_A_4,0.002804666293934943
Sc1_A_10,Sc1_A_4,0.004366849883539858
Sc1_A_11,Sc1_A_4,0.004452394365240808
Sc1_A_12,Sc1_A_4,0.005090194176531226
Sc1_A_13,Sc1_A_4,0.0045390990552119925
Sc1_A_14,Sc1_A_4,0.004070897884760893
Sc1_A_15,Sc1_A_4,0.005027177051191489
Sc1_A_16,Sc1_A_4,0.004384471740189411
Sc1_A_17,Sc1_A_4,0.0042806164471325125
Sc1_A_18,Sc1_A_4,0.004651721735205783
Sc1_A_19,Sc1_A_4,0.004806167998956168
Sc1_A_20,Sc1_A_4,0.005489377177009924
Sc1_B_1,Sc1_A_4,0.07391740063910901
Sc1_B_2,Sc1_A_4,0.06121363118239442
Sc1_B_3,Sc1_A_4,0.06861064301798014
Sc1_B_4,Sc1_A_4,0.066048214319822
Sc1_B_5,Sc1_A_4,0.06387263806171306
Sc1_B_6,Sc1_A_4,0.06715330422635446
Sc1_B_7,Sc1_A_4,0.06616676601333071
Sc1_B_8,Sc1_A_4,0.057183144268425745
Sc1_B_9,Sc1_A_4,0.06357512479060312
Sc1_B_10,Sc1_A_4,0.06537839362319864
Sc1_B_11,Sc1_A_4,0.0645817589790354
Sc1_B_12,Sc1_A_4,0.06902854033337535
Sc1_B_13,Sc1_A_4,0.061843946684563056
Sc1_B_14,Sc1_A_4,0.062305468918259166
Sc1_B_15,Sc1_A_4,0.06791992290630178
Sc1_B_16,Sc1_A_4,0.05755506773200758
Sc1_B_17,Sc1_A_4,0.07038713269445851
Sc1_B_18,Sc1_A_4,0.060179047992136026
Sc1_B_19,Sc1_A_4,0.06131766714153519
Sc1_B_20,Sc1_A_4,0.07079127672306296
Sc1_C_1,Sc1_A_4,0.05725022546972114
Sc1_C_2,Sc1_A_4,0.06333569446461962
Sc1_C_3,Sc1_A_4,0.05919406811786265
Sc1_C_4,Sc1_A_4,0.05586547282002341
Sc1_C_5,Sc1_A_4,0.058544167725501084
Sc1_C_6,Sc1_A_4,0.05804623618735416
Sc1_C_7,Sc1_A_4,0.05940238918826046
Sc1_C_8,Sc1_A_4,0.05593107531737007
Sc1_C_9,Sc1_A_4,0.05661788552527458
Sc1_C_10,Sc1_A_4,0.059848456634172154
Sc1_C_11,Sc1_A_4,0.06184285169732684
Sc1_C_12,Sc1_A_4,0.06124849851916114
Sc1_C_13,Sc1_A_4,0.058737289360431544
Sc1_C_14,Sc1_A_4,0.06039833075783674
Sc1_C_15,Sc1_A_4,0.06333068263051322
Sc1_C_16,Sc1_A_4,0.05457199967757842
Sc1_C_17,Sc1_A_4,0.06095798230360572
Sc1_C_18,Sc1_A_4,0.05629057115352931
Sc1_C_19,Sc1_A_4,0.06128553208910614
Sc1_C_20,Sc1_A_4,0.061130659463925485
Sc1_A_1,Sc1_A_5,0.004539858263186258
Sc1_A_2,Sc1_A_5,0.004786082737616937
Sc1_A_3,Sc1_A_5,0.0030503584352690183
Sc1_A_4,Sc1_A_5,0.004419607943670467
Sc1_A_5,Sc1_A_5,0.0
Sc1_A_6,Sc1_A_5,0.004975231265037516
Sc1_A_7,Sc1_A_5,0.00465003490152649
Sc1_A_8,Sc1_A_5,0.004631531459366567
Sc1_A_9,Sc1_A_5,0.0031588144697429765
Sc1_A_10,Sc1_A_5,0.0046732889539788935
Sc1_A_11,Sc1_A_5,0.003273180682589638
Sc1_A_12,Sc1_A_5,0.005243615024322024
Sc1_A_13,Sc1_A_5,0.003748948984365841
Sc1_A_14,Sc1_A_5,0.004075315018438608
Sc1_A_15,Sc1_A_5,0.006384617779709334
Sc1_A_16,Sc1_A_5,0.0036043791888978882
Sc1_A_17,Sc1_A_5,0.004345834602668797
Sc1_A_18,Sc1_A_5,0.005348416260618327
Sc1_A_19,Sc1_A_5,0.004377292565383106
Sc1_A_20,Sc1_A_5,0.0037168947255719065
Sc1_B_1,Sc1_A_5,0.0759873561724208
Sc1_B_2,Sc1_A_5,0.0640792304430089
Sc1_B_3,Sc1_A_5,0.0701977010874999
Sc1_B_4,Sc1_A_5,0.0682228592194829
Sc1_B_5,Sc1_A_5,0.06680979592868186
Sc1_B_6,Sc1_A_5,0.06844309535033344
Sc1_B_7,Sc1_A_5,0.06892532088785774
Sc1_B_8,Sc1_A_5,0.05821458051432826
Sc1_B_9,Sc1_A_5,0.06613559908465849
Sc1_B_10,Sc1_A_5,0.0672166378200314
Sc1_B_11,Sc1_A_5,0.06733865517496496
Sc1_B_12,Sc1_A_5,0.07154633124907495
Sc1_B_13,Sc1_A_5,0.0620954196194593
Sc1_B_14,Sc1_A_5,0.06453796132305656
Sc1_B_15,Sc1_A_5,0.06949630603886214
Sc1_B_16,Sc1_A_5,0.06057058091850187
Sc1_B_17,Sc1_A_5,0.07265352960844473
Sc1_B_18,Sc1_A_5,0.061296509985923175
Sc1_B_19,Sc1_A_5,0.06349844134344784
Sc1_B_20,Sc1_A_5,0.07243753721669854
Sc1_C_1,Sc1_A_5,0.059039516849875295
Sc1_C_2,Sc1_A_5,0.06597711111825955
Sc1_C_3,Sc1_A_5,0.06112480160744582
Sc1_C_4,Sc1_A_5,0.05675968497218831
Sc1_C_5,Sc1_A_5,0.061013429365368244
Sc1_C_6,Sc1_A_5,0.05972235383993141
Sc1_C_7,Sc1_A_5,0.06222250144563912
Sc1_C_8,Sc1_A_5,0.05739951058119441
Sc1_C_9,Sc1_A_5,0.059120103749654485
Sc1_C_10,Sc1_A_5,0.06259578795379994
Sc1_C_11,Sc1_A_5,0.06375206667973288
Sc1_C_12,Sc1_A_5,0.06283596466896202
Sc1_C_13,Sc1_A_5,0.0609465246644425
Sc1_C_14,Sc1_A_5,0.062297507304775346
Sc1_C_15,Sc1_A_5,0.06486679651537486
Sc1_C_16,Sc1_A_5,0.05650865270274896
Sc1_C_17,Sc1_A_5,0.0633769337590665
Sc1_C_18,Sc1_A_5,0.058152790835397705
Sc1_C_19,Sc1_A_5,0.06305732622449578
Sc1_C_20,Sc1_A_5,0.06283338798443816
Sc1_A_1,Sc1_A_6,0.0045376531895267025
Sc1_A_2,Sc1_A_6,0.004777387002367073
Sc1_A_3,Sc1_A_6,0.003752349484968831
Sc1_A_4,Sc1_A_6,0.0033997750163219376
Sc1_A_5,Sc1_A_6,0.004975231265037516
Sc1_A_6,Sc1_A_6,0.0
Sc1_A_7,Sc1_A_6,0.003292930061076782
Sc1_A_8,Sc1_A_6,0.004315408517610697
Sc1_A_9,Sc1_A_6,0.003309868526318205
Sc1_A_10,Sc1_A_6,0.0033161795211820166
Sc1_A_11,Sc1_A_6,0.004995351283116567
Sc1_A_12,Sc1_A_6,0.004274213601037635
Sc1_A_13,Sc1_A_6,0.004565151460687478
Sc1_A_14,Sc1_A_6,0.00420438109589516
Sc1_A_15,Sc1_A_6,0.004395415515759948
Sc1_A_16,Sc1_A_6,0.004148597940030863
Sc1_A_17,Sc1_A_6,0.0036973887437499187
Sc1_A_18,Sc1_A_6,0.0037443079055278217
Sc1_A_19,Sc1_A_6,0.004704236897107306
Sc1_A_20,Sc1_A_6,0.0049901527210849395
Sc1_B_1,Sc1_A_6,0.07005655145552403
Sc1_B_2,Sc1_A_6,0.05576970823632643
Sc1_B_3,Sc1_A_6,0.06428567914287253
Sc1_B_4,Sc1_A_6,0.0632978813384859
Sc1_B_5,Sc1_A_6,0.060546524157826354
Sc1_B_6,Sc1_A_6,0.06249606556490683
Sc1_B_7,Sc1_A_6,0.06347637802794093
Sc1_B_8,Sc1_A_6,0.05352664387390327
Sc1_B_9,Sc1_A_6,0.05940823901136716
Sc1_B_10,Sc1_A_6,0.06144686995093396
Sc1_B_11,Sc1_A_6,0.0611254440893777
Sc1_B_12,Sc1_A_6,0.06455886137182698
Sc1_B_13,Sc1_A_6,0.057639513161095834
Sc1_B_14,Sc1_A_6,0.05854987545327284
Sc1_B_15,Sc1_A_6,0.0641643231479595
Sc1_B_16,Sc1_A_6,0.05320275423695997
Sc1_B_17,Sc1_A_6,0.06668334972904444
Sc1_B_18,Sc1_A_6,0.0553783650950368
Sc1_B_19,Sc1_A_6,0.05642176626517159
Sc1_B_20,Sc1_A_6,0.06665896409824024
Sc1_C_1,Sc1_A_6,0.06052866441617799
Sc1_C_2,Sc1_A_6,0.0672739988152331
Sc1_C_3,Sc1_A_6,0.06280277286522684
Sc1_C_4,Sc1_A_6,0.059314163046586876
Sc1_C_5,Sc1_A_6,0.06199287781776286
Sc1_C_6,Sc1_A_6,0.06104000833165102
Sc1_C_7,Sc1_A_6,0.06279943094946772
Sc1_C_8,Sc1_A_6,0.05949791281550454
Sc1_C_9,Sc1_A_6,0.05993030454996495
Sc1_C_10,Sc1_A_6,0.06377615583221607
Sc1_C_11,Sc1_A_6,0.06519691663219274
Sc1_C_12,Sc1_A_6,0.0644705721779335
Sc1_C_13,Sc1_A_6,0.06209035351194814
Sc1_C_14,Sc1_A_6,0.06391286689749853
Sc1_C_15,Sc1_A_6,0.06694640485835313
Sc1_C_16,Sc1_A_6,0.057744951871776196
Sc1_C_17,Sc1_A_6,0.06444452278771706
Sc1_C_18,Sc1_A_6,0.05989750052494758
Sc1_C_19,Sc1_A_6,0.06432771007108207
Sc1_C_20,Sc1_A_6,0.06435710973115338
Sc1_A_1,Sc1_A_7,0.00349037302603894
Sc1_A_2,Sc1_A_7,0.003636367787757111
Sc1_A_3,Sc1_A_7,0.0037730885970218564
Sc1_A_4,Sc1_A_7,0.003962971216122879
Sc1_A_5,Sc1_A_7,0.00465003490152649
Sc1_A_6,Sc1_A_7,0.003292930061076782
Sc1_A_7,Sc1_A_7,0.0
Sc1_A_8,Sc1_A_7,0.004097617572765833
Sc1_A_9,Sc1_A_7,0.0032285234957837305
Sc1_A_10,Sc1_A_7,0.0038789279757518447
Sc1_A_11,Sc1_A_7,0.004318958281754326
Sc1_A_12,Sc1_A_7,0.004833866989560676
Sc1_A_13,Sc1_A_7,0.002410104055611262
Sc1_A_14,Sc1_A_7,0.0029365026275133266
Sc1_A_15,Sc1_A_7,0.0041993392693980836
Sc1_A_16,Sc1_A_7,0.004685447806032084
Sc1_A_17,Sc1_A_7,0.002947436003974069
Sc1_A_18,Sc1_A_7,0.0033501095085186616
Sc1_A_19,Sc1_A_7,0.00419615780175242
Sc1_A_20,Sc1_A_7,0.004057324454784239
Sc1_B_1,Sc1_A_7,0.06991339969910149
Sc1_B_2,Sc1_A_7,0.05793022377736712
Sc1_B_3,Sc1_A_7,0.06480688956005154
Sc1_B_4,Sc1_A_7,0.06350383102761892
Sc1_B_5,Sc1_A_7,0.060883751277458265
Sc1_B_6,Sc1_A_7,0.06265084091047302
Sc1_B_7,Sc1_A_7,0.06386436967507891
Sc1_B_8,Sc1_A_7,0.05351072373783028
Sc1_B_9,Sc1_A_7,0.059530869099541306
Sc1_B_10,Sc1_A_7,0.06173150993007748
Sc1_B_11,Sc1_A_7,0.062167646443759605
Sc1_B_12,Sc1_A_7,0.06544318243128844
Sc1_B_13,Sc1_A_7,0.05813263070811925
Sc1_B_14,Sc1_A_7,0.058632352663971044
Sc1_B_15,Sc1_A_7,0.06456796697736777
Sc1_B_16,Sc1_A_7,0.0552129672679903
Sc1_B_17,Sc1_A_7,0.06695404578099118
Sc1_B_18,Sc1_A_7,0.05623304443426691
Sc1_B_19,Sc1_A_7,0.057734284729065166
Sc1_B_20,Sc1_A_7,0.06640618629731099
Sc1_C_1,Sc1_A_7,0.062031281943057515
Sc1_C_2,Sc1_A_7,0.06897694215137928
Sc1_C_3,Sc1_A_7,0.06457297400313022
Sc1_C_4,Sc1_A_7,0.06122054511808506
Sc1_C_5,Sc1_A_7,0.06381751279710501
Sc1_C_6,Sc1_A_7,0.06268607469414911
Sc1_C_7,Sc1_A_7,0.06488836072687432
Sc1_C_8,Sc1_A_7,0.06118978799212482
Sc1_C_9,Sc1_A_7,0.062222511433797534
Sc1_C_10,Sc1_A_7,0.06556365552717924
Sc1_C_11,Sc1_A_7,0.06659369592138042
Sc1_C_12,Sc1_A_7,0.06656122030651301
Sc1_C_13,Sc1_A_7,0.06407690960891854
Sc1_C_14,Sc1_A_7,0.06550871002270808
Sc1_C_15,Sc1_A_7,0.06897787635305053
