,Sc5_A_1,Sc5_A_2,Sc5_A_3,Sc5_A_4,Sc5_A_5,Sc5_A_6,Sc5_A_7,Sc5_A_8,Sc5_A_9,Sc5_A_10,Sc5_A_11,Sc5_A_12,Sc5_A_13,Sc5_A_14,Sc5_A_15,Sc5_A_16,Sc5_A_17,Sc5_A_18,Sc5_A_19,Sc5_A_20,Sc5_B_1,Sc5_B_2,Sc5_B_3,Sc5_B_4,Sc5_B_5,Sc5_B_6,Sc5_B_7,Sc5_B_8,Sc5_B_9,Sc5_B_10,Sc5_B_11,Sc5_B_12,Sc5_B_13,Sc5_B_14,Sc5_B_15,Sc5_B_16,Sc5_B_17,Sc5_B_18,Sc5_B_19,Sc5_B_20,Sc5_C_1,Sc5_C_2,Sc5_C_3,Sc5_C_4,Sc5_C_5,Sc5_C_6,Sc5_C_7,Sc5_C_8,Sc5_C_9,Sc5_C_10,Sc5_C_11,Sc5_C_12,Sc5_C_13,Sc5_C_14,Sc5_C_15,Sc5_C_16,Sc5_C_17,Sc5_C_18,Sc5_C_19,Sc5_C_20
Sc5_A_1,0.0,0.011497373526846544,0.009881515370690597,0.01076162401411851,0.015181108890267692,0.03211173897773034,0.026316436748217376,0.022548126253723266,0.023575042707363658,0.024004690779140025,0.030508347746790565,0.025729568564609395,0.021751777725521837,0.030445281658514678,0.02012559941351788,0.028623528368439843,0.02430156098637337,0.02482281640610151,0.024108265788478467,0.03174231880340228,0.0010333281263134042,0.012509810952097578,0.011122315645098135,0.012149226972155036,0.017499614983573997,0.03535301570880789,0.029206004633772986,0.02555603654038785,0.025620237470394436,0.026198322613210423,0.03406817726130962,0.028756926417525586,0.023542479975141695,0.03313481929001083,0.02293044973220204,0.03163502065624302,0.026614631711229242,0.026508981015958,0.025515976179025124,0.03487521162423757,0.0006225974256676148,0.011641200969214394,0.010146973580567376,0.011373062747389806,0.015264636722264302,0.03282211820082137,0.025949686849161657,0.02320721991032626,0.024507995349674738,0.023873772135824645,0.03158157679955875,0.026293868246012098,0.022503220620650688,0.03013709920236729,0.021204228474004938,0.030132450804646438,0.024327799149111318,0.024347916740967146,0.02530299484144627,0.03174878019150973
Sc5_A_2,0.011497373526846544,0.0,0.011202204680765049,0.00969667462142565,0.013405885876222268,0.020143969663415806,0.02192278776678458,0.019401461462921432,0.016592248763254824,0.025469644823675308,0.022524423050562126,0.02095575463770849,0.02049921509892516,0.028322673871644777,0.02416735654425639,0.02209431536370121,0.027353715749904528,0.023429881231091576,0.026807089697972963,0.02263399375204822,0.013022939842244896,0.0010486489271402943,0.01272972488612556,0.011331157227460698,0.01596392911229938,0.023434436081980814,0.02500185613836292,0.022622366407313743,0.018770891335982642,0.0279593084908194,0.026206391193555834,0.024160303348748857,0.022534620963328034,0.031233490631830674,0.027312207827083435,0.025258918023450483,0.02998543158612399,0.02564988393844514,0.028525770336600975,0.02586526740127859,0.012945778052567691,0.0006251060782284101,0.012132055599637037,0.010952833648893545,0.014137360783113229,0.021334842721924208,0.022156404327650203,0.020682636149314426,0.018083986784465877,0.026024270798826632,0.024124606727555897,0.022097580227689595,0.021896055635143408,0.028623018251420884,0.02596206205971252,0.024194207055709516,0.0280747458788575,0.023886520006918932,0.028678646578685463,0.02314062348626622
Sc5_A_3,0.009881515370690597,0.011202204680765049,0.0,0.011203952805993178,0.008131402023740297,0.02871059196474124,0.023609256272689283,0.022186390681179335,0.02531221105657877,0.027203956337868207,0.030955282528924544,0.01756679643122694,0.022708267801149984,0.03162904878032835,0.023770033280673508,0.03200863332894843,0.02742328779693959,0.025610051052852634,0.02391844643035068,0.03167550573853872,0.011059792110860056,0.01215829506275623,0.00100044841440039,0.012549960221855283,0.010261796327716621,0.03183846120071965,0.0263964256266922,0.025136522988708943,0.027340611604479315,0.02940869016386327,0.03447392997685361,0.02039783170948173,0.024467194269610526,0.03429127671553289,0.026591774645267297,0.03503326576623467,0.029745232775761354,0.02726353453791608,0.02527385367603685,0.034758340297105006,0.011138352801396523,0.01183379578971655,0.0005954897335012088,0.01231391631512746,0.008604463884788749,0.029864207513576768,0.023698692645649944,0.023339232608941884,0.026766004202039895,0.02761730823268893,0.03251388906888164,0.01849074823214214,0.023968889367960933,0.03181790348993763,0.025390924241477375,0.03408319562838902,0.027979876908140633,0.025643158141050115,0.025585510264513056,0.03215960925929329
Sc5_A_4,0.01076162401411851,0.00969667462142565,0.011203952805993178,0.0,0.010766762037574318,0.023207833223489627,0.019574787213231137,0.020551829620329976,0.01964112296981002,0.02192683257426653,0.02411148782480288,0.018876646412775866,0.01717551990140498,0.02710822881221897,0.02176253801537087,0.0244957640655159,0.02404039281861836,0.02281957153295555,0.02055409291403587,0.025366890963936628,0.011887772929852769,0.010552201726137245,0.012352956399910187,0.0010544914968969588,0.012876557087162066,0.026163632270603032,0.022214348861295696,0.023400414282423232,0.02148868615609767,0.0239601356850051,0.027443489534724308,0.021662411672983883,0.0187550448918945,0.02962032653369695,0.024477893248242788,0.02730130499282646,0.02623088758479608,0.02438650316077562,0.021776857437037278,0.028269626672189796,0.011725864807874187,0.009995762082933624,0.011668143671952014,0.0006312862843979028,0.010966572097319105,0.02396455385336882,0.019282017556554454,0.02136596104625188,0.02069880042483252,0.021945858175478783,0.02526981580377008,0.01951703367904445,0.018041240958787785,0.02692485635195896,0.02304737735851148,0.026133212120810656,0.024241981086753572,0.0225359379136566,0.021875216119239926,0.025451594525889965
Sc5_A_5,0.015181108890267692,0.013405885876222268,0.008131402023740297,0.010766762037574318,0.0,0.03014030748858587,0.021447736244936344,0.021109714289142767,0.02248810335168039,0.024662330269824118,0.0298212361569844,0.015371655760098912,0.01990329284058201,0.031307055065382006,0.024808677630869358,0.028577472066378173,0.027730519542638832,0.025126892315711857,0.021108037166448712,0.03140008578083353,0.015636104575344034,0.01357031293920119,0.008475164057007323,0.011268924758657928,0.0011188084369916362,0.03245332781602672,0.023344327730344783,0.023192964065723465,0.0236219364306276,0.025983128155694812,0.032508518532362585,0.017343030428006556,0.020767314918042068,0.033153414778665735,0.026820662602352607,0.030663038486267835,0.029241859086490463,0.02578945745865835,0.021602131446339934,0.033667112890453876,0.016816614321732648,0.01437505512647319,0.009145007613156841,0.012172721257567964,0.000651422604742713,0.03162149726668484,0.0218095840421062,0.022553088248715047,0.02420343024743965,0.025337631187985488,0.03165795511067426,0.01655992867853351,0.021425302446539063,0.03178496018418475,0.02674549214448041,0.030915909668919883,0.028588185749679695,0.025310189299847297,0.023027366069767297,0.03217442575499818
Sc5_A_6,0.03211173897773034,0.020143969663415806,0.02871059196474124,0.023207833223489627,0.03014030748858587,0.0,0.02605963523291821,0.025830350672437885,0.019100159353187207,0.027836066614495225,0.008621981030358827,0.033328237905771885,0.026460502168991207,0.03196570586102354,0.030007016993293334,0.015725631499624138,0.028339198250600384,0.02047816340366937,0.037660291764306075,0.010435909806738475,0.03225249025178778,0.019789757645865658,0.02881536674994556,0.023301968041730126,0.03117474582443991,0.0010986965874179022,0.027378188659984426,0.027338618316794294,0.019510723255437012,0.028563977328386225,0.010306654092174461,0.03498063744831015,0.026796217810910128,0.033189862311704066,0.031465464759558026,0.016878636019456716,0.029222756438738173,0.021215940799555466,0.03784178856547826,0.01169576716353693,0.03363223587852138,0.020848263996201544,0.029674631432203058,0.02443258469838927,0.03090013639634903,0.0006386327116874035,0.026121260938710145,0.026971356823023207,0.020391960648658558,0.028192018188258672,0.009788860011788914,0.034425467382488306,0.027710648592011,0.03209430068935115,0.03165282511435197,0.017481011970347127,0.028844025864171674,0.021032418995402313,0.03945797831997366,0.010520586644901297
Sc5_A_7,0.026316436748217376,0.02192278776678458,0.023609256272689283,0.019574787213231137,0.021447736244936344,0.02605963523291821,0.0,0.018869552312911986,0.021340859150081215,0.014595708147462583,0.019108831943802973,0.024048643838031625,0.017135563136563947,0.01659890087930882,0.019964683693224905,0.02804278258758841,0.016435774021338334,0.017379330624749834,0.03227251940467046,0.020671829673485242,0.02662489695421366,0.021889291984562353,0.023892594042516535,0.019881633555414724,0.022604585090357676,0.027925377323891,0.0011152532040243912,0.020536530446225165,0.022081035866054033,0.015353855821112705,0.021251613078908993,0.02581343777446765,0.017573734895613202,0.017819783842977333,0.021521275390836037,0.0297321152590585,0.017375974291365726,0.01803507621886624,0.03262502115157362,0.022389695709831514,0.02873248317308763,0.023646985483860794,0.025462206242932273,0.021735168029938468,0.02308142678480274,0.02810346500723504,0.0006354560948020893,0.02090824761833754,0.023662883715371397,0.015729690032201704,0.02139348642386496,0.02597941250171254,0.019239305617323788,0.01744489097586832,0.022446535947775348,0.031021649528525264,0.017724135083779124,0.018570605506858295,0.03495044819512272,0.0218817077569452
Sc5_A_8,0.022548126253723266,0.019401461462921432,0.022186390681179335,0.020551829620329976,0.021109714289142767,0.025830350672437885,0.018869552312911986,0.0,0.01761605484163653,0.018669465353044257,0.021806933836550302,0.02420277175644381,0.022078359263621672,0.021564756650270467,0.012627169541054917,0.023739366509715865,0.02196369081272198,0.01916636420271267,0.03483485967960265,0.025414083605251103,0.022583326067324716,0.019116116857976984,0.022246512373519267,0.02067723778740771,0.02205475461441242,0.02748967611411024,0.020137369501933677,0.00111170932918081,0.018081940551753384,0.019305110831925987,0.023801333186738605,0.025773210136158187,0.022412016230226484,0.02268117341300968,0.013849978814204689,0.025135452766049893,0.022810516442659745,0.019487403870087627,0.03504279676336186,0.027021259714727575,0.023838127281468058,0.02000489749672174,0.022964841758874255,0.021647142454334856,0.021632285250636762,0.02678112141077804,0.018719858276911694,0.0006483898508802266,0.018795784571671192,0.0187878945184643,0.023079507941948685,0.025073569864679124,0.023171844329598512,0.021440365808263806,0.013928131975976532,0.025523991120087075,0.02228144196509163,0.019136458256500566,0.036506215490640814,0.0256473612951581
Sc5_A_9,0.023575042707363658,0.016592248763254824,0.02531221105657877,0.01964112296981002,0.02248810335168039,0.019100159353187207,0.021340859150081215,0.01761605484163653,0.0,0.017713543969968715,0.015319569227708385,0.028108281598411278,0.015531084067267109,0.024357666956766666,0.016767204563157834,0.009810561107473026,0.021949109456015026,0.02003764996198598,0.027608192243234853,0.018039138560625223,0.024567799330032947,0.017196990017690816,0.02635466720039248,0.020694259871072207,0.024426839404792955,0.021587918135469453,0.023617550294005807,0.02001499921279748,0.0010737737929082947,0.01927647373321051,0.018120770383519003,0.030677690337759134,0.01668664543606968,0.026442033295007494,0.019004424154121624,0.011924121497627116,0.02372000564912491,0.02151227706945702,0.02859063214348967,0.0204335671302448,0.024611584918638463,0.016880066571294816,0.0258735073850086,0.020451389518230667,0.022755283560927375,0.019672558486459435,0.020955985307507308,0.01826331277537485,0.0006401918676575136,0.017544904445667364,0.01623338231201732,0.02877168052985668,0.016251646818568277,0.02401429373910624,0.01785983492893306,0.011099088568422344,0.022001124708231456,0.019939726153858306,0.028914586717948887,0.0178925646528989
Sc5_A_10,0.024004690779140025,0.025469644823675308,0.027203956337868207,0.02192683257426653,0.024662330269824118,0.027836066614495225,0.014595708147462583,0.018669465353044257,0.017713543969968715,0.0,0.018795563763828294,0.034877339027741816,0.01340370171633365,0.012340379567958193,0.015681455630582875,0.025464058012446555,0.01045508987543653,0.012199830826116531,0.018971485892563145,0.021917520226593323,0.024850062307180898,0.026096096879572483,0.028129750919152596,0.02286788171294396,0.026482418754976478,0.030326510911358517,0.016584871469985774,0.020928604676913487,0.01897395252897094,0.0010655450854066828,0.02150412167006821,0.03741413497565271,0.014359281507495991,0.014053888403165349,0.017742709633790432,0.02771725879470066,0.011858467016154561,0.013100414498602553,0.019635360157471138,0.02422813927156997,0.026109007274456975,0.026969243679745514,0.028838357462959152,0.023843016504235592,0.026061410767819093,0.029625140981615394,0.015190228423051622,0.020420817133046554,0.019699159633191132,0.0006175345727437165,0.0208030983154478,0.036697434406860685,0.01516885540525259,0.012846135192101205,0.017822089458274126,0.02811102805477428,0.011375753466816962,0.01278461372320261,0.02118947343761557,0.022874514921282785
