source,target,cosine_distance
Sc2_A_1,Sc2_A_1,0.0
Sc2_A_2,Sc2_A_1,0.003702318558902684
Sc2_A_3,Sc2_A_1,0.0036801527820778945
Sc2_A_4,Sc2_A_1,0.003909831120065599
Sc2_A_5,Sc2_A_1,0.0036354214916511918
Sc2_A_6,Sc2_A_1,0.004753036704853608
Sc2_A_7,Sc2_A_1,0.00427449607472663
Sc2_A_8,Sc2_A_1,0.00499185379956224
Sc2_A_9,Sc2_A_1,0.004955986262920042
Sc2_A_10,Sc2_A_1,0.0052817378675854565
Sc2_A_11,Sc2_A_1,0.005796368542672181
Sc2_A_12,Sc2_A_1,0.006308124076725985
Sc2_A_13,Sc2_A_1,0.006485412476439967
Sc2_A_14,Sc2_A_1,0.005383933572891686
Sc2_A_15,Sc2_A_1,0.00711854366032616
Sc2_A_16,Sc2_A_1,0.006152795754421292
Sc2_A_17,Sc2_A_1,0.0065975498300518964
Sc2_A_18,Sc2_A_1,0.006330379852596546
Sc2_A_19,Sc2_A_1,0.006513563000904332
Sc2_A_20,Sc2_A_1,0.0031919205360171343
Sc2_B_1,Sc2_A_1,0.06843563895485272
Sc2_B_2,Sc2_A_1,0.07200596029641193
Sc2_B_3,Sc2_A_1,0.07407955642613795
Sc2_B_4,Sc2_A_1,0.07094542120421043
Sc2_B_5,Sc2_A_1,0.07979846556457482
Sc2_B_6,Sc2_A_1,0.0736768010394
Sc2_B_7,Sc2_A_1,0.06929462253266339
Sc2_B_8,Sc2_A_1,0.07448290212471809
Sc2_B_9,Sc2_A_1,0.07167441262809815
Sc2_B_10,Sc2_A_1,0.0779082967601139
Sc2_B_11,Sc2_A_1,0.07405157118515193
Sc2_B_12,Sc2_A_1,0.07522567382764411
Sc2_B_13,Sc2_A_1,0.07091893995403231
Sc2_B_14,Sc2_A_1,0.08256911628839703
Sc2_B_15,Sc2_A_1,0.07772772759746116
Sc2_B_16,Sc2_A_1,0.07940542358372604
Sc2_B_17,Sc2_A_1,0.07540243908817867
Sc2_B_18,Sc2_A_1,0.07433016439747886
Sc2_B_19,Sc2_A_1,0.07311312221032129
Sc2_B_20,Sc2_A_1,0.07777316725590644
Sc2_C_1,Sc2_A_1,0.04902742196200793
Sc2_C_2,Sc2_A_1,0.052407842382066305
Sc2_C_3,Sc2_A_1,0.05418789237188426
Sc2_C_4,Sc2_A_1,0.04586293917992468
Sc2_C_5,Sc2_A_1,0.061353032061785995
Sc2_C_6,Sc2_A_1,0.055506291259948215
Sc2_C_7,Sc2_A_1,0.049798604505855604
Sc2_C_8,Sc2_A_1,0.06094100666615909
Sc2_C_9,Sc2_A_1,0.05238291380521132
Sc2_C_10,Sc2_A_1,0.0579121193845743
Sc2_C_11,Sc2_A_1,0.050690001563033715
Sc2_C_12,Sc2_A_1,0.04844026347889718
Sc2_C_13,Sc2_A_1,0.053723759753260714
Sc2_C_14,Sc2_A_1,0.060921285378053525
Sc2_C_15,Sc2_A_1,0.05266372842798239
Sc2_C_16,Sc2_A_1,0.053929465435684665
Sc2_C_17,Sc2_A_1,0.06085347906924998
Sc2_C_18,Sc2_A_1,0.0615218397569266
Sc2_C_19,Sc2_A_1,0.0594234971023595
Sc2_C_20,Sc2_A_1,0.04886692353877342
Sc2_A_1,Sc2_A_2,0.003702318558902684
Sc2_A_2,Sc2_A_2,0.0
Sc2_A_3,Sc2_A_2,0.004460760838874478
Sc2_A_4,Sc2_A_2,0.00455537006710971
Sc2_A_5,Sc2_A_2,0.004205580737916659
Sc2_A_6,Sc2_A_2,0.003909373244756931
Sc2_A_7,Sc2_A_2,0.004467843500859825
Sc2_A_8,Sc2_A_2,0.005175640491825617
Sc2_A_9,Sc2_A_2,0.004954390270703879
Sc2_A_10,Sc2_A_2,0.00423869067394167
Sc2_A_11,Sc2_A_2,0.0052138884871579805
Sc2_A_12,Sc2_A_2,0.006503725742809885
Sc2_A_13,Sc2_A_2,0.004780649719606456
Sc2_A_14,Sc2_A_2,0.005097928684217545
Sc2_A_15,Sc2_A_2,0.00561784030582968
Sc2_A_16,Sc2_A_2,0.00603115255046538
Sc2_A_17,Sc2_A_2,0.006317515950825969
Sc2_A_18,Sc2_A_2,0.006304328861750141
Sc2_A_19,Sc2_A_2,0.005265633521974067
Sc2_A_20,Sc2_A_2,0.003528218081766843
Sc2_B_1,Sc2_A_2,0.06828309975091018
Sc2_B_2,Sc2_A_2,0.07116963210317873
Sc2_B_3,Sc2_A_2,0.07351706746893616
Sc2_B_4,Sc2_A_2,0.06911886191204275
Sc2_B_5,Sc2_A_2,0.07884050583525992
Sc2_B_6,Sc2_A_2,0.07245486549467106
Sc2_B_7,Sc2_A_2,0.06864026826516101
Sc2_B_8,Sc2_A_2,0.0732775819971978
Sc2_B_9,Sc2_A_2,0.07033970828633485
Sc2_B_10,Sc2_A_2,0.07697289185582745
Sc2_B_11,Sc2_A_2,0.07314232887002636
Sc2_B_12,Sc2_A_2,0.07451892246838165
Sc2_B_13,Sc2_A_2,0.06985948462885494
