source,target,cosine_distance
Sc3_A_1,Sc3_A_1,0.0
Sc3_A_2,Sc3_A_1,0.002276557423774639
Sc3_A_3,Sc3_A_1,0.0025340980365793353
Sc3_A_4,Sc3_A_1,0.0022552070379806555
Sc3_A_5,Sc3_A_1,0.0026622916570796518
Sc3_A_6,Sc3_A_1,0.003198985945152999
Sc3_A_7,Sc3_A_1,0.002745060170946445
Sc3_A_8,Sc3_A_1,0.006125586151070728
Sc3_A_9,Sc3_A_1,0.003499492882414801
Sc3_A_10,Sc3_A_1,0.003970453968783261
Sc3_A_11,Sc3_A_1,0.0036203699689587587
Sc3_A_12,Sc3_A_1,0.002957114290856766
Sc3_A_13,Sc3_A_1,0.0029253732225671403
Sc3_A_14,Sc3_A_1,0.004530126770845078
Sc3_A_15,Sc3_A_1,0.004138311637630454
Sc3_A_16,Sc3_A_1,0.002957114290856766
Sc3_A_17,Sc3_A_1,0.004536820400893871
Sc3_A_18,Sc3_A_1,0.005567672255670231
Sc3_A_19,Sc3_A_1,0.0055814554656303805
Sc3_A_20,Sc3_A_1,0.0045295127647428934
Sc3_B_1,Sc3_A_1,0.006724416090782892
Sc3_B_2,Sc3_A_1,0.003339560635783556
Sc3_B_3,Sc3_A_1,0.00460399382120813
Sc3_B_4,Sc3_A_1,0.0048778157437049385
Sc3_B_5,Sc3_A_1,0.006398992946115012
Sc3_B_6,Sc3_A_1,0.003691100492610455
Sc3_B_7,Sc3_A_1,0.004689815015803456
Sc3_B_8,Sc3_A_1,0.0055747778974203355
Sc3_B_9,Sc3_A_1,0.0059294125629515415
Sc3_B_10,Sc3_A_1,0.004697189625154419
Sc3_B_11,Sc3_A_1,0.006808246352199898
Sc3_B_12,Sc3_A_1,0.004835204831739159
Sc3_B_13,Sc3_A_1,0.004755505848711095
Sc3_B_14,Sc3_A_1,0.005712706251208122
Sc3_B_15,Sc3_A_1,0.006365731291892773
Sc3_B_16,Sc3_A_1,0.004676325880004328
Sc3_B_17,Sc3_A_1,0.006841474572076067
Sc3_B_18,Sc3_A_1,0.00549704967371234
Sc3_B_19,Sc3_A_1,0.004337433444176031
Sc3_B_20,Sc3_A_1,0.006096481710908819
Sc3_C_1,Sc3_A_1,0.004930189124641382
Sc3_C_2,Sc3_A_1,0.0055566352356081206
Sc3_C_3,Sc3_A_1,0.003804288493089225
Sc3_C_4,Sc3_A_1,0.004759874738404002
Sc3_C_5,Sc3_A_1,0.006708024077017982
Sc3_C_6,Sc3_A_1,0.006825157198223186
Sc3_C_7,Sc3_A_1,0.00735019394227987
Sc3_C_8,Sc3_A_1,0.0036204711274718804
Sc3_C_9,Sc3_A_1,0.006580692345072525
Sc3_C_10,Sc3_A_1,0.006389574772508122
Sc3_C_11,Sc3_A_1,0.00967334179825785
Sc3_C_12,Sc3_A_1,0.009153924759093268
Sc3_C_13,Sc3_A_1,0.00819525381781383
Sc3_C_14,Sc3_A_1,0.003984111039565641
Sc3_C_15,Sc3_A_1,0.007215112657610212
Sc3_C_16,Sc3_A_1,0.005606158411448292
Sc3_C_17,Sc3_A_1,0.007886993061987368
Sc3_C_18,Sc3_A_1,0.007586737191688675
Sc3_C_19,Sc3_A_1,0.009104530505638753
Sc3_C_20,Sc3_A_1,0.00493783219395616
Sc3_A_1,Sc3_A_2,0.002276557423774639
Sc3_A_2,Sc3_A_2,0.0
Sc3_A_3,Sc3_A_2,0.0024317457110391016
Sc3_A_4,Sc3_A_2,0.002922366532623344
Sc3_A_5,Sc3_A_2,0.002453577562760767
Sc3_A_6,Sc3_A_2,0.0028379819064200396
Sc3_A_7,Sc3_A_2,0.002982840925141894
Sc3_A_8,Sc3_A_2,0.006596669000962341
Sc3_A_9,Sc3_A_2,0.002756040384385816
Sc3_A_10,Sc3_A_2,0.004221927949031756
Sc3_A_11,Sc3_A_2,0.0034299129753702084
Sc3_A_12,Sc3_A_2,0.0023291535158787013
Sc3_A_13,Sc3_A_2,0.004452219173843863
Sc3_A_14,Sc3_A_2,0.0050011681670212305
Sc3_A_15,Sc3_A_2,0.004451125124000033
Sc3_A_16,Sc3_A_2,0.0023291535158787013
Sc3_A_17,Sc3_A_2,0.004409059441148888
Sc3_A_18,Sc3_A_2,0.006485884799930286
Sc3_A_19,Sc3_A_2,0.006616737195137001
Sc3_A_20,Sc3_A_2,0.004516003981286376
Sc3_B_1,Sc3_A_2,0.007527167705628446
Sc3_B_2,Sc3_A_2,0.004657409703095583
Sc3_B_3,Sc3_A_2,0.005066551610584447
Sc3_B_4,Sc3_A_2,0.005307696940936024
Sc3_B_5,Sc3_A_2,0.007555907964440167
Sc3_B_6,Sc3_A_2,0.0035693796008035017
Sc3_B_7,Sc3_A_2,0.005502195989193437
Sc3_B_8,Sc3_A_2,0.005357809244486811
Sc3_B_9,Sc3_A_2,0.006293624173273393
Sc3_B_10,Sc3_A_2,0.005136719237688325
Sc3_B_11,Sc3_A_2,0.007002093540704912
Sc3_B_12,Sc3_A_2,0.004636986774283702
Sc3_B_13,Sc3_A_2,0.005601065109420045
Sc3_B_14,Sc3_A_2,0.006202408562554718
Sc3_B_15,Sc3_A_2,0.0072519569475087975
Sc3_B_16,Sc3_A_2,0.005517419389321931
Sc3_B_17,Sc3_A_2,0.007668084219219495
Sc3_B_18,Sc3_A_2,0.006028798461916285
Sc3_B_19,Sc3_A_2,0.004371996328203509
Sc3_B_20,Sc3_A_2,0.005844572283908778
Sc3_C_1,Sc3_A_2,0.0065308332933694535
Sc3_C_2,Sc3_A_2,0.005679858378152325
Sc3_C_3,Sc3_A_2,0.00490397208549842
Sc3_C_4,Sc3_A_2,0.005509340724376255
Sc3_C_5,Sc3_A_2,0.007616900216481426
Sc3_C_6,Sc3_A_2,0.0074754459616410696
Sc3_C_7,Sc3_A_2,0.008105613082399987
Sc3_C_8,Sc3_A_2,0.0033713936582648873
Sc3_C_9,Sc3_A_2,0.007612487245397315
Sc3_C_10,Sc3_A_2,0.0068188105536940435
Sc3_C_11,Sc3_A_2,0.010968551725930142
Sc3_C_12,Sc3_A_2,0.010485735104014293
Sc3_C_13,Sc3_A_2,0.008349355760437494
Sc3_C_14,Sc3_A_2,0.004061582139731179
Sc3_C_15,Sc3_A_2,0.006887279633641108
Sc3_C_16,Sc3_A_2,0.006301218832885924
