Id,Label,Classes,Group
0,A_1,A,1
1,A_10,A,1
2,A_11,A,1
3,A_12,A,1
4,A_13,A,1
5,A_14,A,1
6,A_15,A,1
7,A_16,A,1
8,A_17,A,1
9,A_18,A,1
10,A_19,A,1
11,A_2,A,1
12,A_20,A,1
13,A_3,A,1
14,A_4,A,1
15,A_5,A,1
16,A_6,A,1
17,A_7,A,1
18,A_8,A,1
19,A_9,A,1
20,B_1,B,2
21,B_10,B,2
22,B_11,B,2
23,B_12,B,2
24,B_13,B,2
25,B_14,B,2
26,B_15,B,2
27,B_16,B,2
28,B_17,B,2
29,B_18,B,2
30,B_19,B,2
31,B_2,B,2
32,B_20,B,2
33,B_3,B,2
34,B_4,B,2
35,B_5,B,2
36,B_6,B,2
37,B_7,B,2
38,B_8,B,2
39,B_9,B,2
40,C_1,C,3
41,C_10,C,3
42,C_11,C,3
43,C_12,C,3
44,C_13,C,3
45,C_14,C,3
46,C_15,C,3
47,C_16,C,3
48,C_17,C,3
49,C_18,C,3
50,C_19,C,3
51,C_2,C,3
52,C_20,C,3
53,C_3,C,3
54,C_4,C,3
55,C_5,C,3
56,C_6,C,3
57,C_7,C,3
58,C_8,C,3
59,C_9,C,3
60,similarity_heatmap.png,similarity,4
61,similarity_scores.csv,similarity,4
