"A_1" "A_10" "A_11" "A_12" "A_13" "A_14" "A_15" "A_16" "A_17" "A_18" "A_19" "A_2" "A_20" "A_3" "A_4" "A_5" "A_6" "A_7" "A_8" "A_9" "B_1" "B_10" "B_11" "B_12" "B_13" "B_14" "B_15" "B_16" "B_17" "B_18" "B_19" "B_2" "B_20" "B_3" "B_4" "B_5" "B_6" "B_7" "B_8" "B_9" "C_1" "C_10" "C_11" "C_12" "C_13" "C_14" "C_15" "C_16" "C_17" "C_18" "C_19" "C_2" "C_20" "C_3" "C_4" "C_5" "C_6" "C_7" "C_8" "C_9" "similarity_heatmap.png" "similarity_scores.csv"
"and" 4.70588235294118 5.59701492537313 4.47761194029851 5.07246376811594 4.13533834586466 3.38345864661654 4.52830188679245 5.18518518518519 4.13533834586466 4.4280442804428 4.51127819548872 3.46153846153846 3.98009950248756 3.52941176470588 3.87596899224806 4.296875 5.53359683794466 5.01930501930502 4.44444444444444 3.73134328358209 5.98290598290598 4.72103004291846 4.80349344978166 5.5793991416309 5.46218487394958 5.43933054393305 6.03448275862069 5.72687224669604 5.70175438596491 5.24017467248908 5.67685589519651 6.14035087719298 5.19480519480519 6.38297872340426 4.9792531120332 4.76190476190476 5.43933054393305 5.21739130434783 6.30252100840336 5.24017467248908 4.14507772020725 2.92682926829268 2.92682926829268 4.24528301886792 2.80373831775701 2.95566502463054 3.77358490566038 3.28638497652582 2.92682926829268 2.97029702970297 2.94117647058824 4.32692307692308 2.9126213592233 4.76190476190476 3.92156862745098 4.43349753694581 3 3.06122448979592 2.98507462686567 2.87081339712919 0 0
"to" 3.13725490196078 2.61194029850746 2.98507462686567 2.17391304347826 3.00751879699248 2.63157894736842 3.39622641509434 2.96296296296296 2.63157894736842 2.9520295202952 2.63157894736842 2.69230769230769 2.98507462686567 3.92156862745098 2.71317829457364 2.734375 2.37154150197628 2.7027027027027 2.59259259259259 3.73134328358209 2.56410256410256 2.57510729613734 2.18340611353712 2.57510729613734 3.78151260504202 2.51046025104602 2.58620689655172 2.6431718061674 2.63157894736842 2.62008733624454 2.18340611353712 3.07017543859649 2.5974025974026 3.82978723404255 2.4896265560166 2.5974025974026 3.76569037656904 2.60869565217391 2.10084033613445 2.62008733624454 4.14507772020725 3.90243902439024 2.92682926829268 2.83018867924528 4.20560747663551 3.44827586206897 3.30188679245283 3.28638497652582 3.41463414634146 2.97029702970297 3.43137254901961 4.32692307692308 2.9126213592233 3.80952380952381 3.43137254901961 3.44827586206897 4 3.57142857142857 3.48258706467662 4.78468899521531 0 0
"in" 2.74509803921569 2.98507462686567 2.98507462686567 2.17391304347826 3.00751879699248 3.38345864661654 3.0188679245283 2.59259259259259 2.63157894736842 2.9520295202952 3.38345864661654 3.84615384615385 3.48258706467662 2.74509803921569 3.10077519379845 2.734375 3.55731225296443 3.47490347490348 3.33333333333333 2.61194029850746 1.70940170940171 2.14592274678112 1.31004366812227 2.14592274678112 2.10084033613445 1.67364016736402 1.72413793103448 1.76211453744493 0.87719298245614 1.74672489082969 2.18340611353712 2.63157894736842 1.73160173160173 1.27659574468085 2.4896265560166 1.73160173160173 1.25523012552301 1.73913043478261 1.68067226890756 3.05676855895197 1.03626943005181 1.95121951219512 1.95121951219512 0.943396226415094 1.4018691588785 1.97044334975369 1.41509433962264 0.938967136150235 1.95121951219512 0.99009900990099 2.45098039215686 2.40384615384615 1.45631067961165 1.9047619047619 1.96078431372549 1.47783251231527 2 1.53061224489796 1.49253731343284 1.91387559808612 0 0
"energy" 1.17647058823529 0.746268656716418 0.746268656716418 0.72463768115942 0.75187969924812 1.12781954887218 1.13207547169811 1.11111111111111 0.75187969924812 1.1070110701107 0.75187969924812 0.769230769230769 0.995024875621891 0.784313725490196 1.16279069767442 1.171875 0.790513833992095 1.15830115830116 0.740740740740741 0.746268656716418 0.854700854700855 1.71673819742489 1.31004366812227 1.28755364806867 1.26050420168067 1.67364016736402 1.29310344827586 1.3215859030837 1.31578947368421 1.31004366812227 0.873362445414847 1.31578947368421 1.2987012987013 1.27659574468085 0.829875518672199 1.2987012987013 1.25523012552301 0.869565217391304 1.68067226890756 1.31004366812227 1.03626943005181 0.975609756097561 1.46341463414634 1.41509433962264 1.86915887850467 0.985221674876847 0.943396226415094 1.40845070422535 0.975609756097561 1.48514851485149 1.47058823529412 0.961538461538462 1.45631067961165 0.952380952380952 0.980392156862745 1.47783251231527 1 1.02040816326531 0.995024875621891 1.91387559808612 0 0
"with" 1.56862745098039 1.49253731343284 1.11940298507463 1.08695652173913 1.50375939849624 1.12781954887218 1.50943396226415 1.48148148148148 1.50375939849624 1.8450184501845 1.12781954887218 1.15384615384615 1.49253731343284 1.17647058823529 1.16279069767442 1.5625 1.18577075098814 1.15830115830116 1.85185185185185 1.49253731343284 0.427350427350427 0.858369098712446 0.873362445414847 1.28755364806867 0.420168067226891 0.418410041841004 0.431034482758621 0.440528634361233 0.43859649122807 0.436681222707424 0.873362445414847 0.43859649122807 0.865800865800866 1.27659574468085 0.4149377593361 0.432900432900433 0.418410041841004 0.869565217391304 0.420168067226891 0.436681222707424 0.518134715025907 0.975609756097561 0.48780487804878 0.471698113207547 1.86915887850467 0.492610837438424 0.943396226415094 1.40845070422535 0.975609756097561 0.495049504950495 0.490196078431373 1.44230769230769 0.970873786407767 0.952380952380952 0.490196078431373 0.985221674876847 1 0.510204081632653 0.995024875621891 0.478468899521531 0 0
"ai" 1.17647058823529 2.61194029850746 2.61194029850746 2.17391304347826 2.63157894736842 2.25563909774436 2.64150943396226 2.22222222222222 2.25563909774436 2.5830258302583 2.25563909774436 1.15384615384615 1.99004975124378 1.96078431372549 1.55038759689922 1.5625 1.58102766798419 1.93050193050193 1.85185185185185 2.23880597014925 0 0 0.436681222707424 0 0.420168067226891 0 0 0 0 0 0 0 0 0.425531914893617 0 0.432900432900433 0.418410041841004 0 0 0.436681222707424 0 0.48780487804878 0.48780487804878 0.943396226415094 0.467289719626168 0.492610837438424 0.471698113207547 0.469483568075117 0.48780487804878 1.48514851485149 0.490196078431373 0.480769230769231 0.485436893203884 0 0.490196078431373 0.492610837438424 0 0.510204081632653 0.497512437810945 0.956937799043062 0 0
"txt" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50
"for" 0.784313725490196 0 1.11940298507463 1.08695652173913 0.75187969924812 1.12781954887218 0.377358490566038 0 1.8796992481203 0.3690036900369 0.37593984962406 0.384615384615385 0.497512437810945 0 0.387596899224806 0.390625 0 0.772200772200772 0.37037037037037 0.373134328358209 1.28205128205128 2.14592274678112 1.31004366812227 0.858369098712446 1.26050420168067 1.67364016736402 1.29310344827586 1.3215859030837 1.31578947368421 0.873362445414847 1.31004366812227 1.31578947368421 1.2987012987013 0.851063829787234 1.6597510373444 1.73160173160173 1.67364016736402 0.869565217391304 1.26050420168067 0.873362445414847 0.518134715025907 0.975609756097561 0.48780487804878 1.41509433962264 0 0.985221674876847 0.471698113207547 0.938967136150235 1.46341463414634 1.48514851485149 0 0.480769230769231 0.970873786407767 0 0 0 0 0.510204081632653 0 1.43540669856459 0 0
"by" 1.17647058823529 1.11940298507463 0.746268656716418 1.44927536231884 1.12781954887218 0.75187969924812 1.13207547169811 0.740740740740741 1.12781954887218 0.738007380073801 0.75187969924812 1.92307692307692 0.995024875621891 0.784313725490196 1.55038759689922 0.78125 1.18577075098814 0.772200772200772 1.11111111111111 1.11940298507463 0.854700854700855 0.429184549356223 0.436681222707424 0.429184549356223 0.420168067226891 0.418410041841004 0.431034482758621 0.440528634361233 0.43859649122807 0.873362445414847 0.436681222707424 0.43859649122807 0.432900432900433 0.425531914893617 0.829875518672199 0.432900432900433 0.836820083682008 0.434782608695652 0.420168067226891 0.436681222707424 0.518134715025907 0.48780487804878 0.48780487804878 0.471698113207547 0.467289719626168 0.492610837438424 0.943396226415094 0.469483568075117 0.48780487804878 0.495049504950495 0.490196078431373 0.480769230769231 0.485436893203884 0.476190476190476 0.490196078431373 0.492610837438424 0.5 0.510204081632653 0.497512437810945 0.478468899521531 0 0
"systems" 0.392156862745098 0.373134328358209 1.11940298507463 1.44927536231884 0.37593984962406 0.75187969924812 0.377358490566038 0.740740740740741 0.37593984962406 0.3690036900369 0.75187969924812 0.769230769230769 0.995024875621891 0.784313725490196 0.775193798449612 0.78125 0.790513833992095 0.386100386100386 0.37037037037037 0.746268656716418 0.427350427350427 0.429184549356223 0.873362445414847 1.28755364806867 0.420168067226891 0.418410041841004 0.862068965517241 0.440528634361233 0.43859649122807 0.436681222707424 0.873362445414847 0.87719298245614 0.432900432900433 0.851063829787234 0.829875518672199 0.865800865800866 0.836820083682008 0.434782608695652 0.420168067226891 1.74672489082969 1.03626943005181 0.48780487804878 0.48780487804878 0.471698113207547 0.467289719626168 0.985221674876847 0.471698113207547 0.469483568075117 0.975609756097561 0.495049504950495 0.490196078431373 0.961538461538462 0.970873786407767 0.476190476190476 0.490196078431373 0.492610837438424 0.5 0.510204081632653 0.497512437810945 0.478468899521531 0 0
