Source,Target,Weight,Type
Sc1_A_1,Sc1_A_11,2,undirected
Sc1_A_1,Sc1_A_4,1,undirected
Sc1_A_1,Sc1_A_5,5,undirected
Sc1_A_10,Sc1_A_16,1,undirected
Sc1_A_10,Sc1_A_19,3,undirected
Sc1_A_10,Sc1_A_4,2,undirected
Sc1_A_11,Sc1_A_1,2,undirected
Sc1_A_11,Sc1_A_13,2,undirected
Sc1_A_11,Sc1_A_14,1,undirected
Sc1_A_11,Sc1_A_3,2,undirected
Sc1_A_11,Sc1_A_4,3,undirected
Sc1_A_12,Sc1_A_17,2,undirected
Sc1_A_12,Sc1_A_18,3,undirected
Sc1_A_12,Sc1_A_4,1,undirected
Sc1_A_13,Sc1_A_11,2,undirected
Sc1_A_13,Sc1_A_14,5,undirected
Sc1_A_13,Sc1_A_16,1,undirected
Sc1_A_13,Sc1_A_17,3,undirected
Sc1_A_13,Sc1_A_18,3,undirected
Sc1_A_13,Sc1_A_19,1,undirected
Sc1_A_13,Sc1_A_2,1,undirected
Sc1_A_13,Sc1_A_4,6,undirected
Sc1_A_13,Sc1_A_5,3,undirected
Sc1_A_13,Sc1_A_7,3,undirected
Sc1_A_13,Sc1_A_8,3,undirected
Sc1_A_13,Sc1_A_9,1,undirected
Sc1_A_14,Sc1_A_11,1,undirected
Sc1_A_14,Sc1_A_13,5,undirected
Sc1_A_14,Sc1_A_15,1,undirected
Sc1_A_14,Sc1_A_17,4,undirected
Sc1_A_14,Sc1_A_19,2,undirected
Sc1_A_14,Sc1_A_20,1,undirected
Sc1_A_14,Sc1_A_4,4,undirected
Sc1_A_14,Sc1_A_6,3,undirected
Sc1_A_14,Sc1_A_8,1,undirected
Sc1_A_15,Sc1_A_14,1,undirected
Sc1_A_15,Sc1_A_4,2,undirected
Sc1_A_15,Sc1_A_9,5,undirected
Sc1_A_16,Sc1_A_10,1,undirected
Sc1_A_16,Sc1_A_13,1,undirected
Sc1_A_16,Sc1_A_3,5,undirected
Sc1_A_16,Sc1_A_4,3,undirected
Sc1_A_16,Sc1_A_6,1,undirected
Sc1_A_17,Sc1_A_12,2,undirected
Sc1_A_17,Sc1_A_13,3,undirected
Sc1_A_17,Sc1_A_14,4,undirected
Sc1_A_17,Sc1_A_4,1,undirected
Sc1_A_18,Sc1_A_12,3,undirected
Sc1_A_18,Sc1_A_13,3,undirected
Sc1_A_18,Sc1_A_2,4,undirected
Sc1_A_18,Sc1_A_4,1,undirected
Sc1_A_19,Sc1_A_10,3,undirected
Sc1_A_19,Sc1_A_13,1,undirected
Sc1_A_19,Sc1_A_14,2,undirected
Sc1_A_19,Sc1_A_20,3,undirected
Sc1_A_19,Sc1_A_4,3,undirected
Sc1_A_2,Sc1_A_13,1,undirected
Sc1_A_2,Sc1_A_18,4,undirected
Sc1_A_2,Sc1_A_4,3,undirected
Sc1_A_2,Sc1_A_7,2,undirected
Sc1_A_20,Sc1_A_14,1,undirected
Sc1_A_20,Sc1_A_19,3,undirected
Sc1_A_20,Sc1_A_4,2,undirected
Sc1_A_3,Sc1_A_11,2,undirected
Sc1_A_3,Sc1_A_16,5,undirected
Sc1_A_3,Sc1_A_4,1,undirected
Sc1_A_4,Sc1_A_1,1,undirected
Sc1_A_4,Sc1_A_10,2,undirected
Sc1_A_4,Sc1_A_11,3,undirected
Sc1_A_4,Sc1_A_12,1,undirected
Sc1_A_4,Sc1_A_13,6,undirected
Sc1_A_4,Sc1_A_14,4,undirected
Sc1_A_4,Sc1_A_15,2,undirected
Sc1_A_4,Sc1_A_16,3,undirected
Sc1_A_4,Sc1_A_17,1,undirected
Sc1_A_4,Sc1_A_18,1,undirected
Sc1_A_4,Sc1_A_19,3,undirected
Sc1_A_4,Sc1_A_2,3,undirected
Sc1_A_4,Sc1_A_20,2,undirected
Sc1_A_4,Sc1_A_3,1,undirected
Sc1_A_4,Sc1_A_5,1,undirected
Sc1_A_4,Sc1_A_6,2,undirected
Sc1_A_4,Sc1_A_7,1,undirected
Sc1_A_4,Sc1_A_8,2,undirected
Sc1_A_4,Sc1_A_9,4,undirected
Sc1_A_5,Sc1_A_1,5,undirected
Sc1_A_5,Sc1_A_13,3,undirected
Sc1_A_5,Sc1_A_4,1,undirected
Sc1_A_6,Sc1_A_14,3,undirected
Sc1_A_6,Sc1_A_16,1,undirected
Sc1_A_6,Sc1_A_4,2,undirected
Sc1_A_7,Sc1_A_13,3,undirected
Sc1_A_7,Sc1_A_2,2,undirected
Sc1_A_7,Sc1_A_4,1,undirected
Sc1_A_8,Sc1_A_13,3,undirected
Sc1_A_8,Sc1_A_14,1,undirected
Sc1_A_8,Sc1_A_4,2,undirected
Sc1_A_9,Sc1_A_13,1,undirected
Sc1_A_9,Sc1_A_15,5,undirected
Sc1_A_9,Sc1_A_4,4,undirected
Sc1_B_1,Sc1_B_12,1,undirected
Sc1_B_1,Sc1_B_17,3,undirected
Sc1_B_1,Sc1_B_6,2,undirected
Sc1_B_10,Sc1_B_17,3,undirected
Sc1_B_10,Sc1_B_3,2,undirected
Sc1_B_10,Sc1_B_6,1,undirected
Sc1_B_11,Sc1_B_13,1,undirected
Sc1_B_11,Sc1_B_15,1,undirected
Sc1_B_11,Sc1_B_17,5,undirected
Sc1_B_11,Sc1_B_18,1,undirected
Sc1_B_11,Sc1_B_19,1,undirected
Sc1_B_11,Sc1_B_5,1,undirected
Sc1_B_11,Sc1_B_6,2,undirected
Sc1_B_11,Sc1_B_7,1,undirected
Sc1_B_11,Sc1_B_8,1,undirected
Sc1_B_12,Sc1_B_1,1,undirected
Sc1_B_12,Sc1_B_17,3,undirected
Sc1_B_12,Sc1_B_2,1,undirected
Sc1_B_12,Sc1_B_3,1,undirected
Sc1_B_12,Sc1_B_4,2,undirected
Sc1_B_12,Sc1_B_6,2,undirected
Sc1_B_13,Sc1_B_11,1,undirected
Sc1_B_13,Sc1_B_17,3,undirected
Sc1_B_13,Sc1_B_6,2,undirected
Sc1_B_14,Sc1_B_17,3,undirected
Sc1_B_14,Sc1_B_5,2,undirected
Sc1_B_14,Sc1_B_6,1,undirected
Sc1_B_15,Sc1_B_11,1,undirected
Sc1_B_15,Sc1_B_17,3,undirected
Sc1_B_15,Sc1_B_6,2,undirected
Sc1_B_16,Sc1_B_17,3,undirected
Sc1_B_16,Sc1_B_2,4,undirected
Sc1_B_16,Sc1_B_6,1,undirected
Sc1_B_17,Sc1_B_1,3,undirected
Sc1_B_17,Sc1_B_10,3,undirected
Sc1_B_17,Sc1_B_11,5,undirected
Sc1_B_17,Sc1_B_12,3,undirected
Sc1_B_17,Sc1_B_13,3,undirected
Sc1_B_17,Sc1_B_14,3,undirected
Sc1_B_17,Sc1_B_15,3,undirected
Sc1_B_17,Sc1_B_16,3,undirected
Sc1_B_17,Sc1_B_18,4,undirected
Sc1_B_17,Sc1_B_19,3,undirected
Sc1_B_17,Sc1_B_2,3,undirected
Sc1_B_17,Sc1_B_20,2,undirected
Sc1_B_17,Sc1_B_3,2,undirected
Sc1_B_17,Sc1_B_4,3,undirected
Sc1_B_17,Sc1_B_5,3,undirected
Sc1_B_17,Sc1_B_6,6,undirected
Sc1_B_17,Sc1_B_7,3,undirected
Sc1_B_17,Sc1_B_8,3,undirected
Sc1_B_17,Sc1_B_9,3,undirected
Sc1_B_18,Sc1_B_11,1,undirected
Sc1_B_18,Sc1_B_17,4,undirected
Sc1_B_18,Sc1_B_3,2,undirected
Sc1_B_18,Sc1_B_4,1,undirected
Sc1_B_18,Sc1_B_6,2,undirected
Sc1_B_18,Sc1_B_9,2,undirected
Sc1_B_19,Sc1_B_11,1,undirected
Sc1_B_19,Sc1_B_17,3,undirected
Sc1_B_19,Sc1_B_6,2,undirected
Sc1_B_2,Sc1_B_12,1,undirected
Sc1_B_2,Sc1_B_16,4,undirected
Sc1_B_2,Sc1_B_17,3,undirected
Sc1_B_20,Sc1_B_17,2,undirected
Sc1_B_20,Sc1_B_3,1,undirected
Sc1_B_20,Sc1_B_6,4,undirected
Sc1_B_3,Sc1_B_10,2,undirected
Sc1_B_3,Sc1_B_12,1,undirected
Sc1_B_3,Sc1_B_17,2,undirected
Sc1_B_3,Sc1_B_18,2,undirected
Sc1_B_3,Sc1_B_20,1,undirected
Sc1_B_3,Sc1_B_6,5,undirected
Sc1_B_4,Sc1_B_12,2,undirected
Sc1_B_4,Sc1_B_17,3,undirected
Sc1_B_4,Sc1_B_18,1,undirected
Sc1_B_5,Sc1_B_11,1,undirected
Sc1_B_5,Sc1_B_14,2,undirected
Sc1_B_5,Sc1_B_17,3,undirected
Sc1_B_5,Sc1_B_6,2,undirected
Sc1_B_6,Sc1_B_1,2,undirected
Sc1_B_6,Sc1_B_10,1,undirected
Sc1_B_6,Sc1_B_11,2,undirected
Sc1_B_6,Sc1_B_12,2,undirected
Sc1_B_6,Sc1_B_13,2,undirected
Sc1_B_6,Sc1_B_14,1,undirected
Sc1_B_6,Sc1_B_15,2,undirected
Sc1_B_6,Sc1_B_16,1,undirected
Sc1_B_6,Sc1_B_17,6,undirected
Sc1_B_6,Sc1_B_18,2,undirected
Sc1_B_6,Sc1_B_19,2,undirected
Sc1_B_6,Sc1_B_20,4,undirected
Sc1_B_6,Sc1_B_3,5,undirected
Sc1_B_6,Sc1_B_5,2,undirected
Sc1_B_6,Sc1_B_7,2,undirected
Sc1_B_6,Sc1_B_8,2,undirected
Sc1_B_6,Sc1_B_9,1,undirected
Sc1_B_7,Sc1_B_11,1,undirected
Sc1_B_7,Sc1_B_17,3,undirected
Sc1_B_7,Sc1_B_6,2,undirected
Sc1_B_8,Sc1_B_11,1,undirected
Sc1_B_8,Sc1_B_17,3,undirected
Sc1_B_8,Sc1_B_6,2,undirected
Sc1_B_9,Sc1_B_17,3,undirected
Sc1_B_9,Sc1_B_18,2,undirected
Sc1_B_9,Sc1_B_6,1,undirected
Sc1_C_1,Sc1_C_11,1,undirected
Sc1_C_1,Sc1_C_6,2,undirected
Sc1_C_1,Sc1_C_9,3,undirected
Sc1_C_10,Sc1_C_11,3,undirected
Sc1_C_10,Sc1_C_7,1,undirected
Sc1_C_10,Sc1_C_9,2,undirected
Sc1_C_11,Sc1_C_1,1,undirected
Sc1_C_11,Sc1_C_10,3,undirected
Sc1_C_11,Sc1_C_12,2,undirected
Sc1_C_11,Sc1_C_13,2,undirected
Sc1_C_11,Sc1_C_14,3,undirected
Sc1_C_11,Sc1_C_15,3,undirected
Sc1_C_11,Sc1_C_16,2,undirected
Sc1_C_11,Sc1_C_17,3,undirected
Sc1_C_11,Sc1_C_18,3,undirected
Sc1_C_11,Sc1_C_19,3,undirected
Sc1_C_11,Sc1_C_2,2,undirected
Sc1_C_11,Sc1_C_20,2,undirected
Sc1_C_11,Sc1_C_3,4,undirected
Sc1_C_11,Sc1_C_4,3,undirected
Sc1_C_11,Sc1_C_5,2,undirected
Sc1_C_11,Sc1_C_6,3,undirected
Sc1_C_11,Sc1_C_7,4,undirected
Sc1_C_11,Sc1_C_8,3,undirected
Sc1_C_11,Sc1_C_9,6,undirected
Sc1_C_12,Sc1_C_11,2,undirected
Sc1_C_12,Sc1_C_13,6,undirected
Sc1_C_12,Sc1_C_18,1,undirected
Sc1_C_12,Sc1_C_19,1,undirected
Sc1_C_12,Sc1_C_3,1,undirected
Sc1_C_12,Sc1_C_7,1,undirected
Sc1_C_12,Sc1_C_9,2,undirected
Sc1_C_13,Sc1_C_11,2,undirected
Sc1_C_13,Sc1_C_12,6,undirected
Sc1_C_13,Sc1_C_9,1,undirected
Sc1_C_14,Sc1_C_11,3,undirected
Sc1_C_14,Sc1_C_8,2,undirected
