Id,Label,Classes,Group
0,Sc1_A_1,Sc1,1
1,Sc1_A_10,Sc1,1
2,Sc1_A_11,Sc1,1
3,Sc1_A_12,Sc1,1
4,Sc1_A_13,Sc1,1
5,Sc1_A_14,Sc1,1
6,Sc1_A_15,Sc1,1
7,Sc1_A_16,Sc1,1
8,Sc1_A_17,Sc1,1
9,Sc1_A_18,Sc1,1
10,Sc1_A_19,Sc1,1
11,Sc1_A_2,Sc1,1
12,Sc1_A_20,Sc1,1
13,Sc1_A_3,Sc1,1
14,Sc1_A_4,Sc1,1
15,Sc1_A_5,Sc1,1
16,Sc1_A_6,Sc1,1
17,Sc1_A_7,Sc1,1
18,Sc1_A_8,Sc1,1
19,Sc1_A_9,Sc1,1
20,Sc1_B_1,Sc1,1
21,Sc1_B_10,Sc1,1
22,Sc1_B_11,Sc1,1
23,Sc1_B_12,Sc1,1
24,Sc1_B_13,Sc1,1
25,Sc1_B_14,Sc1,1
26,Sc1_B_15,Sc1,1
27,Sc1_B_16,Sc1,1
28,Sc1_B_17,Sc1,1
29,Sc1_B_18,Sc1,1
30,Sc1_B_19,Sc1,1
31,Sc1_B_2,Sc1,1
32,Sc1_B_20,Sc1,1
33,Sc1_B_3,Sc1,1
34,Sc1_B_4,Sc1,1
35,Sc1_B_5,Sc1,1
36,Sc1_B_6,Sc1,1
37,Sc1_B_7,Sc1,1
38,Sc1_B_8,Sc1,1
39,Sc1_B_9,Sc1,1
40,Sc1_C_1,Sc1,1
41,Sc1_C_10,Sc1,1
42,Sc1_C_11,Sc1,1
43,Sc1_C_12,Sc1,1
44,Sc1_C_13,Sc1,1
45,Sc1_C_14,Sc1,1
46,Sc1_C_15,Sc1,1
47,Sc1_C_16,Sc1,1
48,Sc1_C_17,Sc1,1
49,Sc1_C_18,Sc1,1
50,Sc1_C_19,Sc1,1
51,Sc1_C_2,Sc1,1
52,Sc1_C_20,Sc1,1
53,Sc1_C_3,Sc1,1
54,Sc1_C_4,Sc1,1
55,Sc1_C_5,Sc1,1
56,Sc1_C_6,Sc1,1
57,Sc1_C_7,Sc1,1
58,Sc1_C_8,Sc1,1
59,Sc1_C_9,Sc1,1
